rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Transformers: Age of Extinction,1104054072,245439076.0,22.2,858614996,77.8
2,The Hobbit: The Battle of the Five Armies,956019788,255119788.0,26.7,700900000,73.3
3,Guardians of the Galaxy,772776600,333176600.0,43.1,439600000,56.9
4,Maleficent,758410378,241410378.0,31.8,517000000,68.2
5,The Hunger Games: Mockingjay - Part 1,755356711,337135885.0,44.6,418220826,55.4
6,X-Men: Days of Future Past,746045700,233921534.0,31.4,512124166,68.6
7,Captain America: The Winter Soldier,714421503,259766572.0,36.4,454654931,63.6
8,Dawn of the Planet of the Apes,710644566,208545589.0,29.3,502098977,70.7
9,The Amazing Spider-Man 2,708982323,202853933.0,28.6,506128390,71.4
10,Interstellar,681070397,188020017.0,27.6,493050380,72.4
11,Big Hero 6,657827828,222527828.0,33.8,435300000,66.2
12,How to Train Your Dragon 2,621537519,177002924.0,28.5,444534595,71.5
13,American Sniper,547626372,350126372.0,63.9,197500000,36.1
14,Godzilla,524976069,200676069.0,38.2,324300000,61.8
15,Rio 2,498781117,131538435.0,26.4,367242682,73.6
16,Teenage Mutant Ninja Turtles,485004754,191204754.0,39.4,293800000,60.6
17,The Lego Movie,468060692,257760692.0,55.1,210300000,44.9
18,Lucy,458863600,126663600.0,27.6,332200000,72.4
19,Penguins of Madagascar,373515621,83850911.0,22.4,289664710,77.6
20,Edge of Tomorrow,370541256,100206256.0,27.0,270335000,73.0
21,Gone Girl,369330363,167767189.0,45.4,201563174,54.6
22,Night at the Museum: Secret of the Tomb,363204635,113746621.0,31.3,249458014,68.7
23,Noah,359200044,101200044.0,28.2,258000000,71.8
24,The Maze Runner,348319861,102427862.0,29.4,245891999,70.6
25,300: Rise of an Empire,337580051,106580051.0,31.6,231000000,68.4
26,22 Jump Street,331333876,191719337.0,57.9,139614539,42.1
27,The Fault in Our Stars,307166834,124872350.0,40.7,182294484,59.3
28,Divergent,288885818,150947895.0,52.3,137937923,47.7
29,Paddington,282370135,76271832.0,27.0,206098303,73.0
30,Mr. Peabody & Sherman,275698039,111506430.0,40.4,164191609,59.6
31,Neighbors,270665134,150157400.0,55.5,120507734,44.5
32,Exodus: Gods and Kings,268175631,65014513.0,24.2,203161118,75.8
33,Annabelle,257047661,84273813.0,32.8,172773848,67.2
34,Hercules,244819862,72688614.0,29.7,172131248,70.3
35,RoboCop,242688965,58607007.0,24.1,184081958,75.9
36,The Imitation Game,233555708,91125683.0,39.0,142430025,61.0
37,Non-Stop,222809600,92168600.0,41.4,130641000,58.6
38,Dracula Untold,217124280,56280355.0,25.9,160843925,74.1
39,The Expendables 3,214657577,39322544.0,18.3,175335033,81.7
40,Into the Woods,212902372,128002372.0,60.1,84900000,39.9
41,Fury,211817906,85817906.0,40.5,126000000,59.5
42,Need for Speed,203277636,43577636.0,21.4,159700000,78.6
43,The Other Woman,196710396,83911193.0,42.7,112799203,57.3
44,The Equalizer,192330738,101530738.0,52.8,90800000,47.2
45,Breakup Buddies,189017596,777896.0,0.4,188239700,99.6
46,Stand by Me Doraemon,183442714,,,183442714,100.0
47,Serial Bad Weddings,176404493,,,176404493,100.0
48,The Monkey King: Havoc in Heaven's Palace,175835580,,,175835580,100.0
49,The Grand Budapest Hotel,172936941,59301324.0,34.3,113635617,65.7
50,Dumb and Dumber To,169837010,86208010.0,50.8,83629000,49.2
51,Into the Storm,161502194,47602194.0,29.5,113900000,70.5
52,Unbroken,161459297,115637895.0,71.6,45821402,28.4
53,The Monuments Men,155641650,78031620.0,50.1,77610030,49.9
54,Ride Along,154468902,134938200.0,87.4,19530702,12.6
55,Planes: Fire & Rescue,146965787,59165787.0,40.3,87800000,59.7
56,The Taking of Tiger Mountain,141654055,228984.0,0.2,141425071,99.8
57,The Admiral: Roaring Currents,138342258,2589811.0,1.9,135752447,98.1
58,Let's Be Cops,138224951,82390774.0,59.6,55834177,40.4
59,Annie,136853506,85911262.0,62.8,50942244,37.2
60,Jack Ryan: Shadow Recruit,135503748,50577412.0,37.3,84926336,62.7
61,Blended,127994610,46294610.0,36.2,81700000,63.8
62,Sex Tape,126069509,38543473.0,30.6,87526036,69.4
63,The Theory of Everything,123726688,35893537.0,29.0,87833151,71.0
64,The Nut Job,120885527,64251541.0,53.2,56633986,46.8
65,Pompeii,117831631,23219748.0,19.7,94611883,80.3
66,Seventh Son,114178613,17223265.0,15.1,96955348,84.9
67,The Purge: Anarchy,111928365,71962800.0,64.3,39965565,35.7
