rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Barbie,"$1,445,638,421","$636,238,421",44%,"$809,400,000",56%
2,The Super Mario Bros. Movie,"$1,361,992,475","$574,934,330",42.2%,"$787,058,145",57.8%
3,Oppenheimer,"$975,295,005","$329,862,540",33.8%,"$645,432,465",66.2%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,875,015","$146,126,015",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,615,475","$381,311,319",55.2%,"$309,304,156",44.8%
7,Wonka,"$632,302,312","$218,402,312",34.5%,"$413,900,000",65.5%
8,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
9,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%
10,Elemental,"$496,444,308","$154,426,697",31.1%,"$342,017,611",68.9%
11,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
12,John Wick: Chapter 4,"$440,157,245","$187,131,806",42.5%,"$253,025,439",57.5%
13,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%
14,Aquaman and the Lost Kingdom,"$434,381,226","$124,481,226",28.7%,"$309,900,000",71.3%
15,Meg 2: The Trench,"$397,700,317","$82,600,317",20.8%,"$315,100,000",79.2%
16,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%
17,The Hunger Games: The Ballad of Songbirds & Snakes,"$337,371,917","$166,350,594",49.3%,"$171,021,323",50.7%
18,Migration,"$298,914,522","$127,306,285",42.6%,"$171,608,237",57.4%
19,Five Nights at Freddy's,"$291,493,620","$137,275,620",47.1%,"$154,218,000",52.9%
20,Creed III,"$276,148,615","$156,248,615",56.6%,"$119,900,000",43.4%
21,The Flash,"$271,333,313","$108,133,313",39.9%,"$163,200,000",60.1%
22,The Nun II,"$269,467,073","$86,267,073",32%,"$183,200,000",68%
23,Taylor Swift: The Eras Tour,"$261,656,269","$180,756,269",69.1%,"$80,900,000",30.9%
24,Wish,"$254,997,360","$63,973,821",25.1%,"$191,023,539",74.9%
25,Sound of Freedom,"$250,570,396","$184,178,046",73.5%,"$66,392,350",26.5%
26,Napoleon,"$221,394,838","$61,524,375",27.8%,"$159,870,463",72.2%
27,Anyone But You,"$220,162,545","$88,319,668",40.1%,"$131,842,877",59.9%
28,Trolls Band Together,"$209,367,510","$102,996,915",49.2%,"$106,370,595",50.8%
29,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%
30,The Marvels,"$206,136,825","$84,500,223",41%,"$121,636,602",59%
31,PAW Patrol: The Mighty Movie,"$202,231,360","$65,231,360",32.3%,"$137,000,000",67.7%
32,The Equalizer 3,"$191,067,560","$92,373,751",48.3%,"$98,693,809",51.7%
33,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%
34,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.7%,"$61,900,000",34.3%
35,The Boy and the Heron,"$174,012,555","$46,832,867",26.9%,"$127,179,688",73.1%
36,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
37,Killers of the Flower Moon,"$157,026,901","$68,026,901",43.3%,"$89,000,000",56.7%
38,Evil Dead Rise,"$147,033,054","$67,233,054",45.7%,"$79,800,000",54.3%
39,The Exorcist: Believer,"$136,284,218","$65,537,395",48.1%,"$70,746,823",51.9%
40,Shazam! Fury of the Gods,"$134,038,006","$57,638,006",43%,"$76,400,000",57%
41,Blue Beetle,"$130,788,072","$72,488,072",55.4%,"$58,300,000",44.6%
42,A Haunting in Venice,"$122,290,456","$42,471,412",34.7%,"$79,819,044",65.3%
43,Gran Turismo,"$122,101,055","$44,428,554",36.4%,"$77,672,501",63.6%
44,Poor Things,"$117,625,455","$34,553,225",29.4%,"$83,072,230",70.6%
45,Haunted Mansion,"$117,449,790","$67,653,287",57.6%,"$49,796,503",42.4%
46,Godzilla Minus One,"$115,857,413","$56,418,793",48.7%,"$59,438,620",51.3%
47,Pathaan,"$112,583,450","$17,487,476",15.5%,"$95,095,974",84.5%
48,Saw X,"$111,823,047","$53,607,898",47.9%,"$58,215,149",52.1%
