rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Shrek 2,928965969,441426807.0,47.5,487534523,52.5
2,Harry Potter and the Prisoner of Azkaban,795634069,249541069.0,31.4,546093000,68.6
3,Spider-Man 2,788618317,373585825.0,47.4,415032492,52.6
4,The Incredibles,631442092,261441092.0,41.4,370001000,58.6
5,The Passion of the Christ,611490759,370274604.0,60.6,241212132,39.4
6,The Day After Tomorrow,552639571,186740799.0,33.8,365898772,66.2
7,Meet the Fockers,522657936,279261160.0,53.4,243396776,46.6
8,Troy,497409852,133378256.0,26.8,364031596,73.2
9,Shark Tale,374583879,160861908.0,42.9,213721971,57.1
10,Ocean's Twelve,362744280,125544280.0,34.6,237200000,65.4
11,"I, Robot",353133898,144801023.0,41.0,208332875,59.0
12,National Treasure,347512318,173008894.0,49.8,174503424,50.2
13,Van Helsing,300157638,120177084.0,40.0,179980554,60.0
14,The Bourne Supremacy,290633422,176241941.0,60.6,114391481,39.4
15,The Polar Express,286000505,162775358.0,56.9,123225147,43.1
16,Bridget Jones: The Edge of Reason,265126918,40226215.0,15.2,224900703,84.8
17,Howl's Moving Castle,235203868,4711096.0,2.0,230484947,98.0
18,Fahrenheit 9/11,222446882,119194771.0,53.6,103252111,46.4
19,Collateral,220239925,101005703.0,45.9,119234222,54.1
20,The Terminal,218685607,77872883.0,35.6,140812724,64.4
21,Million Dollar Baby,216763646,100492203.0,46.4,116271443,53.6
22,The Aviator,213719942,102610330.0,48.0,111109612,52.0
23,A Series of Unfortunate Events,211468235,118634549.0,56.1,92833686,43.9
24,King Arthur,203567857,51882244.0,25.5,151685613,74.5
25,Garfield: The Movie,203172417,75369589.0,37.1,127802828,62.9
26,50 First Dates,198413428,120908074.0,60.9,77505354,39.1
27,The Grudge,187281115,110359362.0,58.9,76921753,41.1
28,Scooby-Doo 2: Monsters Unleashed,181216833,84216833.0,46.5,97000000,53.5
29,Along Came Polly,178311729,88097164.0,49.4,90214565,50.6
30,Alien vs. Predator,177427090,80282231.0,45.2,97144859,54.8
31,Starsky & Hutch,170268750,88237754.0,51.8,82030996,48.2
32,Shall We Dance?,170128460,57890460.0,34.0,112238000,66.0
33,Dodgeball: A True Underdog Story,168423227,114326736.0,67.9,54096491,32.1
34,Alexander,167298192,34297191.0,20.5,133001001,79.5
35,The Phantom of the Opera,154648887,51268815.0,33.2,103380072,66.8
36,Kill Bill: Vol. 2,154116796,66208183.0,43.0,87908613,57.0
37,Home on the Range,145358062,50030461.0,34.4,95327601,65.6
38,The SpongeBob SquarePants Movie,140192993,85417988.0,60.9,54775005,39.1
39,The Princess Diaries 2: Royal Engagement,134734481,95170481.0,70.6,39564000,29.4
40,Blade: Trinity,131883935,52411906.0,39.7,79472029,60.3
41,Man on Fire,130834852,77911774.0,59.5,52923078,40.5
42,Mean Girls,130135039,86058055.0,66.1,44067774,33.9
43,Resident Evil: Apocalypse,129342769,51201453.0,39.6,78141316,60.4
44,Ray,123971376,75331600.0,60.8,48639776,39.2
45,The Notebook,117814972,81001787.0,68.8,36810836,31.2
46,The Forgotten,117592831,67133509.0,57.1,50459322,42.9
47,Finding Neverland,116650613,51680613.0,44.3,64970000,55.7
48,The Chronicles of Riddick,115900534,57761012.0,49.8,58139522,50.2
49,Closer,115505027,33987757.0,29.4,81517270,70.6
50,White Chicks,113086475,70831760.0,62.6,42254715,37.4
51,Sideways,109706931,71503593.0,65.2,38203338,34.8
52,Hidalgo,108040622,67303450.0,62.3,40737172,37.7
53,The Stepford Wives,103370127,59484742.0,57.5,43885385,42.5
54,Saw,103096345,55185045.0,53.5,47911300,46.5
55,Dawn of the Dead,102278712,59020957.0,57.7,43257755,42.3
56,Kung Fu Hustle,100912445,17108591.0,17.0,83803854,83.0
57,Ladder 49,100572044,74541707.0,74.1,26030337,25.9
58,Hellboy,99318987,59623958.0,60.0,39695029,40.0
59,The Butterfly Effect,96693417,57938693.0,59.9,38754724,40.1
60,Christmas with the Kranks,96572480,73780539.0,76.4,22791941,23.6
