rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Beauty and the Beast,248820940,145863363.0,58.6,102939158.0,41.4
2,Terminator 2: Judgment Day,205068982,204843345.0,99.9,225637.0,0.1
3,Robin Hood: Prince of Thieves,165493908,165493908.0,100.0,,
4,The Silence of the Lambs,130746887,130742922.0,100.0,,
5,City Slickers,124033791,124033791.0,100.0,,
6,Hook,119655099,119654823.0,100.0,,
7,The Addams Family,113502426,113502426.0,100.0,,
8,Sleeping with the Enemy,101599005,101599005.0,100.0,,
9,Father of the Bride,89325780,89325780.0,100.0,,
10,The Naked Gun 2½: The Smell of Fear,86930411,86930411.0,100.0,,
11,Fried Green Tomatoes,82418501,82418501.0,100.0,,
12,Cape Fear,79091969,79091969.0,100.0,,
13,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813,78656813.0,100.0,,
14,Backdraft,77868585,77868585.0,100.0,,
15,Star Trek VI: The Undiscovered Country,74888996,74888996.0,100.0,,
16,The Prince of Tides,74787599,74787599.0,100.0,,
17,JFK,70405498,70405498.0,100.0,,
18,Hot Shots!,69467617,69467617.0,100.0,,
19,What About Bob?,63707829,63707829.0,100.0,,
20,One Hundred and One Dalmatians 1991 Re-release,60830285,60830285.0,100.0,,
21,The Last Boy Scout,59509925,59509925.0,100.0,,
22,My Girl,59489799,59489799.0,100.0,,
23,Boyz n the Hood,57504719,57504069.0,100.0,,
24,Doc Hollywood,54830779,54830779.0,100.0,,
25,Bugsy,49114016,49114016.0,100.0,,
26,New Jack City,47624353,47624353.0,100.0,,
27,The Rocketeer,46704056,46704056.0,100.0,,
28,Thelma & Louise,45455013,45360915.0,99.8,93163.0,0.2
29,Point Break,43218387,43218387.0,100.0,,
30,Regarding Henry,43001500,43001500.0,100.0,,
31,The Fisher King,41895491,41895491.0,100.0,,
32,Out for Justice,39673161,39673161.0,100.0,,
33,The Doctor,38120905,38120905.0,100.0,,
34,Bill & Ted's Bogus Journey,38037931,38037513.0,100.0,418.0,0.1
35,Dead Again,38016380,38016380.0,100.0,,
36,Soapdish,36489888,36489888.0,100.0,,
37,Freddy's Dead: The Final Nightmare,34872033,34872033.0,100.0,,
38,White Fang,34793160,34793160.0,100.0,,
39,The Doors,34494884,34416893.0,99.8,77991.0,0.2
40,King Ralph,34002045,34002045.0,100.0,,
41,Curly Sue,33691313,33691313.0,100.0,,
42,Dying Young,33669178,33669178.0,100.0,,
43,Grand Canyon,33243020,33243020.0,100.0,,
44,Jungle Fever,32482682,32482682.0,100.0,,
45,Double Impact,30102717,30102717.0,100.0,,
46,L.A. Story,28862081,28862081.0,100.0,,
47,Deceived,28738096,28738096.0,100.0,,
48,Necessary Roughness,26255594,26255594.0,100.0,,
49,The Hard Way,25895485,25895485.0,100.0,,
50,Other People's Money,25682090,25682090.0,100.0,,
51,Don't Tell Mom the Babysitter's Dead,25196249,25196249.0,100.0,,
52,Problem Child 2,25104700,25104700.0,100.0,,
53,Little Man Tate,25010896,25010896.0,100.0,,
54,Class Action,24277858,24277858.0,100.0,,
55,The People Under the Stairs,24204154,24204154.0,100.0,,
56,Lionheart,24078196,24078196.0,100.0,,
57,Oscar,23562716,23562716.0,100.0,,
58,Frankie and Johnny,22773535,22773535.0,100.0,,
59,Pure Luck,22641969,22641969.0,100.0,,
60,An American Tail: Fievel Goes West,22166041,22166041.0,100.0,,
61,Only the Lonely,21830957,21830957.0,100.0,,
62,Ricochet,21756163,21756163.0,100.0,,
63,F/X2,21082165,21082165.0,100.0,,
64,Mobsters,20246790,20246790.0,100.0,,
65,House Party 2,19438638,19438638.0,100.0,,
66,Mortal Thoughts,18784957,18784957.0,100.0,,
67,Paradise,18634643,18634643.0,100.0,,
68,For the Boys,17860280,17860280.0,100.0,,
69,The NeverEnding Story II: The Next Chapter,17373527,17373527.0,100.0,,
70,Hudson Hawk,17218080,17218080.0,100.0,,
71,Defending Your Life,16371128,16371128.0,100.0,,
72,Billy Bathgate,15565363,15565363.0,100.0,,
73,Highlander II: The Quickening,15556340,15556340.0,100.0,,
74,Switch,15545943,15545943.0,100.0,,
75,A Kiss Before Dying,15429177,15429177.0,100.0,,
76,Shipwrecked,15104156,15104156.0,100.0,,
77,Toy Soldiers,15073942,15073942.0,100.0,,
78,Madonna: Truth or Dare,15014326,15012935.0,100.0,1317.0,0.1
79,Child's Play 3,14960255,14960255.0,100.0,,
80,The Commitments,14919570,14919570.0,100.0,,
81,Once Around,14851083,14851083.0,100.0,,
82,All I Want for Christmas,14812144,14812144.0,100.0,,
83,Not Without My Daughter,14789113,14789113.0,100.0,,
84,Flight of the Intruder,14587732,14587732.0,100.0,,
85,Ernest Scared Stupid,14143280,14143280.0,100.0,,
86,The Perfect Weapon,14061361,14061361.0,100.0,,
87,Drop Dead Fred,13878564,13878334.0,100.0,,
88,The Marrying Man,12454768,12454768.0,100.0,,
89,Shattered,11511031,11511031.0,100.0,,
90,Career Opportunities,11336986,11336986.0,100.0,,
91,One Good Cop,11276846,11276846.0,100.0,,
92,V.I. Warshawski,11128309,11128309.0,100.0,,
93,The Super,11000863,11000863.0,100.0,,
94,A Rage in Harlem,10438504,10438504.0,100.0,,
95,"He Said, She Said",9804775,9804775.0,100.0,,
96,The Butcher's Wife,9689816,9689816.0,100.0,,
97,Scenes from a Mall,9563393,9563393.0,100.0,,
98,Guilty by Suspicion,9480198,9480198.0,100.0,,
99,Body Parts,9188150,9188150.0,100.0,,
100,Stone Cold,9151887,9151887.0,100.0,,
101,Warlock,9094451,9094451.0,100.0,,
102,Late for Dinner,8906823,8906823.0,100.0,,
103,The Five Heartbeats,8750400,8750400.0,100.0,,
104,Bingo,8667684,8667684.0,100.0,,
105,Nothing But Trouble,8479793,8479793.0,100.0,,
106,Black Robe,8211952,8211952.0,100.0,,
107,If Looks Could Kill,7788597,7788597.0,100.0,,
108,Strictly Business,7683267,7683267.0,100.0,,
109,Harley Davidson and the Marlboro Man,7434726,7434726.0,100.0,,
110,Wild Hearts Can't Be Broken,7294835,7294835.0,100.0,,
111,Rush,7241350,7241350.0,100.0,,
112,Suburban Commando,6948859,6948859.0,100.0,,
113,Defenseless,6413375,6413375.0,100.0,,
114,My Own Private Idaho,6406097,6401336.0,99.9,,
115,Rambling Rose,6266621,6266621.0,100.0,,
116,Mystery Date,6166819,6166819.0,100.0,,
117,Barton Fink,6153939,6153939.0,100.0,,
118,Europa Europa,5575738,5575738.0,100.0,,
119,Delirious,5546827,5546827.0,100.0,,
120,Livin' Large!,5467959,5467959.0,100.0,,
121,Eve of Destruction,5451119,5451119.0,100.0,,
122,The Object of Beauty,5136759,5136759.0,100.0,,
123,La Femme Nikita,5017971,5017971.0,100.0,,
124,True Identity,4693236,4693236.0,100.0,,
125,The Hitman,4654288,4654288.0,100.0,,
