rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,The Lord of the Rings: The Two Towers,936709145,339789881.0,36.3,596899854.0,63.7
2,Harry Potter and the Chamber of Secrets,878979634,261988482.0,29.8,616991152.0,70.2
3,Spider-Man,821708551,403706375.0,49.1,418002176.0,50.9
4,Star Wars: Episode II - Attack of the Clones,645256452,302191252.0,46.8,343065200.0,53.2
5,Men in Black II,441818803,190418803.0,43.1,251400000.0,56.9
6,Die Another Day,431971116,160942139.0,37.3,271028977.0,62.7
7,Signs,408247917,227966634.0,55.8,180281283.0,44.2
8,Ice Age,383257136,176387405.0,46.0,206869731.0,54.0
9,My Big Fat Greek Wedding,368744044,241438208.0,65.5,127305836.0,34.5
10,Minority Report,358372926,132072926.0,36.9,226300000.0,63.1
11,Catch Me If You Can,352114312,164615351.0,46.8,187498961.0,53.2
12,Chicago,306776732,170687518.0,55.6,136089214.0,44.4
13,Austin Powers in Goldmember,296938801,213307889.0,71.8,83630912.0,28.2
14,xXx,277448382,142109382.0,51.2,135339000.0,48.8
15,Scooby-Doo,275650703,153294164.0,55.6,122356539.0,44.4
16,Lilo & Stitch,273144151,145794338.0,53.4,127349813.0,46.6
17,The Ring,249348933,129128133.0,51.8,120220800.0,48.2
18,8 Mile,242875078,116750901.0,48.1,126124177.0,51.9
19,The Bourne Identity,214034224,121661683.0,56.8,92372541.0,43.2
20,Red Dragon,209196298,93149898.0,44.5,116046400.0,55.5
21,Two Weeks Notice,199043242,93354851.0,46.9,105688391.0,53.1
22,Panic Room,196397415,96397334.0,49.1,100000081.0,50.9
23,The Sum of All Fears,193921372,118907036.0,61.3,75014336.0,38.7
24,Gangs of New York,193772504,77812000.0,40.2,115960504.0,59.8
25,Road to Perdition,181001478,104454762.0,57.7,76546716.0,42.3
26,Sweet Home Alabama,180622424,127223418.0,70.4,53399006.0,29.6
27,The Scorpion King,178799308,91047077.0,50.9,87752231.0,49.1
28,Hero,177395557,53710019.0,30.3,123685538.0,69.7
29,The Santa Clause 2,172855065,139236327.0,80.6,33618738.0,19.4
30,Mr. Deeds,171269535,126293452.0,73.7,44976083.0,26.3
31,Stuart Little 2,169956806,64956806.0,38.2,105000000.0,61.8
32,Blade II,155010032,82348319.0,53.1,72661713.0,46.9
33,Maid in Manhattan,154906693,94011225.0,60.7,60895468.0,39.3
34,About a Boy,130549455,41385278.0,31.7,89164177.0,68.3
35,Space Station 3D,128363881,93383953.0,72.7,34979928.0,27.3
36,The Time Machine,123729176,56832494.0,45.9,66896682.0,54.1
37,Spirit: Stallion of the Cimarron,122563539,73280117.0,59.8,49283422.0,40.2
38,The Pianist,120072577,32572577.0,27.1,87500000.0,72.9
39,Spy Kids 2: Island of Lost Dreams,119723358,85846429.0,71.7,33876929.0,28.3
40,Unfaithful,119137784,52775765.0,44.3,66362019.0,55.7
41,Snow Dogs,115035090,81172560.0,70.6,33862530.0,29.4
42,We Were Soldiers,114660784,78122718.0,68.1,36538066.0,31.9
43,Insomnia,113714830,67355513.0,59.2,46359317.0,40.8
44,Return to Never Land,109862682,48430258.0,44.1,61432424.0,55.9
45,Treasure Planet,109578115,38176783.0,34.8,71401332.0,65.2
46,The Hours,108846072,41675994.0,38.3,67170078.0,61.7
47,Asterix & Obelix: Mission Cleopatra,108012365,,,108012365.0,100.0
48,About Schmidt,105834556,65016287.0,61.4,40818269.0,38.6
49,The Tuxedo,104391623,50547998.0,48.4,53843625.0,51.6
50,Resident Evil,102984862,40119709.0,39.0,62865153.0,61.0
51,John Q,102244770,71756802.0,70.2,30487968.0,29.8
52,40 Days and 40 Nights,95146283,37950822.0,39.9,57195461.0,60.1
53,Changing Lanes,94935764,66818548.0,70.4,28117216.0,29.6
54,28 Days Later,82719885,45064915.0,54.5,37654970.0,45.5
55,Reign of Fire,82150183,43061982.0,52.4,39088201.0,47.6
56,The Rookie,80693537,75600072.0,93.7,5093465.0,6.3
57,Jackass: The Movie,79493831,64255312.0,80.8,15238519.0,19.2
