rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Captain America: Civil War,1153296293,408084349.0,35.4,745211944.0,64.6
2,Rogue One: A Star Wars Story,1056057273,532177324.0,50.4,523879949.0,49.6
3,Finding Dory,1028570889,486295561.0,47.3,542275328.0,52.7
4,Zootopia,1023784195,341268248.0,33.3,682515947.0,66.7
5,The Jungle Book,966550600,364001123.0,37.7,602549477.0,62.3
6,The Secret Life of Pets,875697467,368623860.0,42.1,507073607.0,57.9
7,Batman v Superman: Dawn of Justice,874360194,330360194.0,37.8,544000000.0,62.2
8,Fantastic Beasts and Where to Find Them,816037575,234037575.0,28.7,582000000.0,71.3
9,Deadpool,782612155,363070709.0,46.4,419541446.0,53.6
10,Suicide Squad,749200054,325100054.0,43.4,424100000.0,56.6
11,Doctor Strange,677718395,232641920.0,34.3,445076475.0,65.7
12,Moana,643331111,248757044.0,38.7,394574067.0,61.3
13,Sing,634151679,270395425.0,42.6,363756254.0,57.4
14,The Mermaid,553810228,3232685.0,0.6,550577543.0,99.4
15,X-Men: Apocalypse,543934105,155442489.0,28.6,388491616.0,71.4
16,Kung Fu Panda 3,521170825,143528619.0,27.5,377642206.0,72.5
17,La La Land,447407695,151101803.0,33.8,296305892.0,66.2
18,Warcraft,439048914,47365290.0,10.8,391683624.0,89.2
19,Jason Bourne,415484914,162434410.0,39.1,253050504.0,60.9
20,Ice Age: Collision Course,408579038,64063008.0,15.7,344516030.0,84.3
21,Independence Day: Resurgence,389681935,103144286.0,26.5,286537649.0,73.5
22,Your Name.,357986087,5017246.0,1.4,352968841.0,98.6
23,The Legend of Tarzan,357243061,126643061.0,35.5,230600000.0,64.5
24,The Angry Birds Movie,352333929,107509366.0,30.5,244824563.0,69.5
25,Trolls,347013487,153856089.0,44.3,193157398.0,55.7
26,Star Trek Beyond,343471816,158848340.0,46.2,184623476.0,53.8
27,The Great Wall,334933831,45540830.0,13.6,289393001.0,86.4
28,Now You See Me 2,334897606,65075540.0,19.4,269822066.0,80.6
29,The Conjuring 2,321370008,102470008.0,31.9,218900000.0,68.1
30,Resident Evil: The Final Chapter,312242626,26830068.0,8.6,285412558.0,91.4
31,Dangal,303723636,12391761.0,4.1,291331875.0,95.9
32,Passengers,303144152,100014699.0,33.0,203129453.0,67.0
33,Alice Through the Looking Glass,299457024,77041381.0,25.7,222415643.0,74.3
34,Miss Peregrine's Home for Peculiar Children,296482446,87242834.0,29.4,209239612.0,70.6
35,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601.0,33.4,163572247.0,66.6
36,Sully,243870033,125070033.0,51.3,118800000.0,48.7
37,Assassin's Creed,240697856,54647948.0,22.7,186049908.0,77.3
38,Hidden Figures,235956898,169607287.0,71.9,66349611.0,28.1
39,Ghostbusters,229147509,128350574.0,56.0,100796935.0,44.0
40,Inferno,220021259,34343574.0,15.6,185677685.0,84.4
41,Central Intelligence,216940871,127440871.0,58.7,89500000.0,41.3
42,Bridget Jones's Baby,211952420,24252420.0,11.4,187700000.0,88.6
43,Me Before You,208445075,56245075.0,27.0,152200000.0,73.0
44,London Has Fallen,205754447,62524260.0,30.4,143230187.0,69.6
45,Arrival,203388186,100546139.0,49.4,102842047.0,50.6
46,The BFG,195243411,55483770.0,28.4,139759641.0,71.6
47,The Monkey King 2,193678298,709982.0,0.4,192968316.0,99.6
48,Bad Moms,183936074,113257297.0,61.6,70678777.0,38.4
49,Storks,183679278,72679278.0,39.6,111000000.0,60.4
50,From Vegas to Macau III,181732879,,,181732879.0,100.0
