rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Star Wars: Episode VII - The Force Awakens,2068223624,936662225.0,45.3,1131561399,54.7
2,Jurassic World,1670400637,652270625.0,39.0,1018130012,61.0
3,Furious 7,1515047671,353007020.0,23.3,1162040651,76.7
4,Avengers: Age of Ultron,1402805868,459005868.0,32.7,943800000,67.3
5,Minions,1159398397,336045770.0,29.0,823352627,71.0
6,Spectre,880674609,200074609.0,22.7,680600000,77.3
7,Inside Out,858294430,356461711.0,41.5,501832719,58.5
8,Mission: Impossible - Rogue Nation,682714267,195042377.0,28.6,487671890,71.4
9,The Hunger Games: Mockingjay - Part 2,653428261,281723902.0,43.1,371704359,56.9
10,The Martian,630161890,228433663.0,36.2,401728227,63.8
11,Fifty Shades of Grey,569651467,166167230.0,29.2,403484237,70.8
12,Cinderella,542351353,201151353.0,37.1,341200000,62.9
13,The Revenant,532950503,183637894.0,34.5,349312609,65.5
14,Ant-Man,519311965,180202163.0,34.7,339109802,65.3
15,Hotel Transylvania 2,474800000,169700110.0,35.7,305099890,64.3
16,San Andreas,474590832,155190832.0,32.7,319400000,67.3
17,Terminator Genisys,440603537,89760956.0,20.4,350842581,79.6
18,Kingsman: The Secret Service,414351546,128261724.0,31.0,286089822,69.0
19,Monster Hunt,387053506,32766.0,0.1,387020740,100.0
20,Home,386041607,177397510.0,46.0,208644097,54.0
21,Mad Max: Fury Road,379436354,153636354.0,40.5,225800000,59.5
22,The Good Dinosaur,332207671,123087120.0,37.1,209120551,62.9
23,Taken 3,326479141,89256424.0,27.3,237222717,72.7
24,The SpongeBob Movie: Sponge Out of Water,325186032,162994032.0,50.1,162192000,49.9
25,Maze Runner: The Scorch Trials,312296056,81697192.0,26.2,230598864,73.8
26,The Divergent Series: Insurgent,297002527,130179072.0,43.8,166823455,56.2
27,Pitch Perfect 2,287144079,184296230.0,64.2,102847849,35.8
28,Mojin: The Lost Legend,259368448,1243810.0,0.5,258124638,99.5
29,Lost in Hong Kong,256283912,1302281.0,0.5,254981631,99.5
30,The Peanuts Movie,246233113,130178411.0,52.9,116054702,47.1
31,Pixels,244874809,78747585.0,32.2,166127224,67.8
32,Daddy's Home,242786137,150357137.0,61.9,92429000,38.1
33,Spy,235666219,110825712.0,47.0,124840507,53.0
34,Alvin and the Chipmunks: The Road Chip,234798636,85886987.0,36.6,148911649,63.4
35,Goodbye Mr. Loser,228122928,1293626.0,0.6,226829302,99.4
36,Ted 2,215863606,81476385.0,37.7,134387221,62.3
37,Tomorrowland,209035668,93436322.0,44.7,115599346,55.3
38,Everest,203427584,43482270.0,21.4,159945314,78.6
39,Straight Outta Compton,201634991,161197785.0,79.9,40437206,20.1
40,The Intern,194764672,75764672.0,38.9,119000000,61.1
41,Jian Bing Man,186683536,,,186683536,100.0
42,Jupiter Ascending,184287723,47387723.0,25.7,136900000,74.3
43,Creed,174167581,109767581.0,63.0,64400000,37.0
44,Fantastic Four,167882881,56117548.0,33.4,111765333,66.6
45,Bridge of Spies,165478348,72313754.0,43.7,93164594,56.3
46,From Vegas to Macau II,163877532,,,163877532,100.0
47,Focus,159162963,53862963.0,33.8,105300000,66.2
48,Goosebumps,158260952,80080379.0,50.6,78180573,49.4
49,Ip Man 3,156954938,2679437.0,1.7,154275501,98.3
50,The Hateful Eight,155760117,54117416.0,34.7,101642701,65.3
51,Monkey King: Hero Is Back,153262397,,,153262397,100.0
52,Gods of Egypt,150680864,31153464.0,20.7,119527400,79.3
53,The Last Witch Hunter,146936910,27367660.0,18.6,119569250,81.4
54,Trainwreck,140795793,110212700.0,78.3,30583093,21.7
55,Mr. Six,139191345,1415450.0,1.0,137775895,99.0
56,Point Break,133782481,28782481.0,21.5,105000000,78.5
57,The Big Short,133440870,70259870.0,52.7,63181000,47.3
58,Pan,128988320,35088320.0,27.2,93900000,72.8
59,Detective Chinatown,125842935,474252.0,0.4,125368683,99.6
60,Wolf Totem,125837070,210591.0,0.2,125626479,99.8
61,Ride Along 2,124605297,91221830.0,73.2,33383467,26.8
62,Magic Mike XXL,122613057,66013057.0,53.8,56600000,46.2
63,Dragon Blade,122593849,74068.0,0.1,122519781,99.9
64,Insidious: Chapter 3,112983889,52218558.0,46.2,60765331,53.8
65,Get Hard,111811453,90411453.0,80.9,21400000,19.1
66,The Man from U.N.C.L.E.,110045109,45445109.0,41.3,64600000,58.7
67,The 5th Wave,109906372,34916787.0,31.8,74989585,68.2
68,Paul Blart: Mall Cop 2,107588225,71038190.0,66.0,36550035,34.0
69,Vacation,107228221,58884188.0,54.9,48344033,45.1
70,Chronicles of the Ghostly Tribe,106380000,,,106380000,100.0
71,Shaun the Sheep Movie,106209378,19375982.0,18.2,86833396,81.8
72,Sisters,105011053,87044645.0,82.9,17966408,17.1
73,Chappie,102811889,31569268.0,30.7,71242621,69.3
74,Joy,101134059,56451232.0,55.8,44682827,44.2
75,Black Mass,99975678,62575678.0,62.6,37400000,37.4
76,Spotlight,98690254,45055776.0,45.7,53634478,54.3
