rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Jurassic Park,978167947,357067947,36.5,621100000.0,63.5
2,Mrs. Doubtfire,219195446,219195243,100.0,,
3,The Fugitive,183875799,183875760,100.0,39.0,0.1
4,The Firm,158348367,158348367,100.0,,
5,Sleepless in Seattle,126680884,126680884,100.0,,
6,Indecent Proposal,106614059,106614059,100.0,,
7,In the Line of Fire,102314823,102314823,100.0,,
8,The Pelican Brief,100768056,100768056,100.0,,
9,Schindler's List,96065768,96065768,100.0,,
10,Cliffhanger,84049211,84049211,100.0,,
11,Free Willy,77698625,77698625,100.0,,
12,Philadelphia,77446440,77446440,100.0,,
13,Groundhog Day,70907146,70906973,100.0,,
14,Grumpy Old Men,70172621,70172621,100.0,,
15,Cool Runnings,68859986,68856263,100.0,,
16,Dave,63270710,63270710,100.0,,
17,Rising Sun,63179523,63179523,100.0,,
18,Demolition Man,58055768,58055768,100.0,,
19,Sister Act 2: Back in the Habit,57319029,57319029,100.0,,
20,Tombstone,56505065,56505065,100.0,,
21,The Three Musketeers,53898845,53898845,100.0,,
22,Rookie of the Year,53615089,53615089,100.0,,
23,Beethoven's 2nd,53443066,53443066,100.0,,
24,Dennis the Menace,51270765,51270765,100.0,,
25,Sommersby,50081992,50081992,100.0,,
26,The Nightmare Before Christmas,50033869,50003043,99.9,30826.0,0.1
27,Last Action Hero,50016394,50016394,100.0,,
28,Addams Family Values,48919043,48919043,100.0,,
29,Malice,46405336,46405336,100.0,,
30,Made in America,44942695,44942695,100.0,,
31,The Good Son,44789789,44789789,100.0,,
32,The Beverly Hillbillies,44029386,44029386,100.0,,
33,Teenage Mutant Ninja Turtles III,42273609,42273609,100.0,,
34,Homeward Bound: The Incredible Journey,41833324,41833324,100.0,,
35,Snow White and the Seven Dwarfs 1993 Re-release,41634471,41634471,100.0,,
36,Falling Down,40903593,40903593,100.0,,
37,The Piano,40157856,40157856,100.0,,
38,Hocus Pocus,39523707,39514713,100.0,8994.0,0.1
39,What's Love Got to Do with It,39100956,39100956,100.0,,
40,Hot Shots! Part Deux,38922972,38922972,100.0,,
41,Carlito's Way,36948322,36948322,100.0,,
42,Alive,36733909,36733909,100.0,,
43,Son in Law,36448400,36448400,100.0,,
44,Sliver,36300000,36300000,100.0,,
45,Robin Hood: Men in Tights,35739755,35739755,100.0,,
46,Dragon: The Bruce Lee Story,35113743,35113743,100.0,,
47,The Joy Luck Club,32901136,32901136,100.0,,
48,Hard Target,32589677,32589677,100.0,,
49,The Sandlot,32434006,32434006,100.0,,
50,The Age of Innocence,32255440,32255440,100.0,,
51,Cop & ½,31889691,31889691,100.0,,
52,The Secret Garden,31181347,31181347,100.0,,
53,A Perfect World,31130999,31130999,100.0,,
54,Point of No Return,30038362,30038362,100.0,,
55,Loaded Weapon 1,27979399,27979399,100.0,,
56,Menace II Society,27912072,27912072,100.0,,
57,My Life,27804899,27804899,100.0,,
58,Poetic Justice,27515786,27515786,100.0,,
59,Shadowlands,25842377,25842377,100.0,,
60,In the Name of the Father,25096862,25096862,100.0,,
61,The Man Without a Face,24760338,24760338,100.0,,
62,Striking Distance,24107867,24107867,100.0,,
63,The Adventures of Huck Finn,24103594,24103594,100.0,,
64,Benny & Joon,23261580,23261580,100.0,,
65,The Remains of the Day,23240144,23237911,100.0,,
66,The Program,23032565,23032565,100.0,,
67,Guilty as Sin,22866222,22866222,100.0,,
68,Rudy,22750363,22750363,100.0,,
69,Much Ado About Nothing,22549338,22549338,100.0,,
70,Nowhere to Run,22189039,22189039,100.0,,
71,Like Water for Chocolate,21665468,21665468,100.0,,
72,Coneheads,21274717,21274717,100.0,,
73,Super Mario Bros.,20916005,20915465,100.0,,
74,Another Stakeout,20208496,20208496,100.0,,
75,Fire in the Sky,19885552,19885552,100.0,,
76,Sniper,18994653,18994653,100.0,,
77,Untamed Heart,18898806,18898806,100.0,,
78,Geronimo: An American Legend,18635620,18635620,100.0,,
79,Posse,18289763,18289763,100.0,,
80,CB4,17953778,17953778,100.0,,
81,Born Yesterday,17952857,17952857,100.0,,
82,A Bronx Tale,17287898,17287898,100.0,,
83,Sidekicks,17180393,17180393,100.0,,
84,Heart and Souls,16589540,16589540,100.0,,
85,Jason Goes to Hell,15935068,15935068,100.0,,
86,Needful Things,15185672,15185672,100.0,,
87,Indian Summer,14904910,14904910,100.0,,
88,The Vanishing,14543394,14543394,100.0,,
89,The Crush,13609396,13609396,100.0,,
90,Body of Evidence,13273595,13273595,100.0,,
91,True Romance,13088778,12281551,93.8,807227.0,6.2
92,Man's Best Friend,12974636,12974636,100.0,,
93,A Far Off Place,12890752,12890752,100.0,,
94,Weekend at Bernie's II,12741891,12741891,100.0,,
95,Judgment Night,12526677,12526677,100.0,,
96,Life with Mikey,12440858,12440858,100.0,,
97,Undercover Blues,12324660,12324660,100.0,,
98,Strictly Ballroom,11739220,11738022,100.0,,
99,So I Married an Axe Murderer,11585483,11585483,100.0,,
100,Army of Darkness,11504201,11502976,100.0,,
101,Manhattan Murder Mystery,11330911,11330911,100.0,,
102,Who's the Man?,11299730,11299730,100.0,,
103,For Love or Money,11146270,11146270,100.0,,
104,Mad Dog and Glory,11081586,11081586,100.0,,
105,Gettysburg,10769960,10769960,100.0,,
106,RoboCop 3,10696210,10696210,100.0,,
107,The Dark Half,10611160,10611160,100.0,,
108,Look Who's Talking Now,10340263,10340263,100.0,,
109,Boiling Point,10058318,10058318,100.0,,
110,What's Eating Gilbert Grape,10032765,10032765,100.0,,
111,Amos & Andrew,9745803,9745803,100.0,,
112,Flesh and Bone,9709451,9709451,100.0,,
113,Matinee,9532895,9532895,100.0,,
114,We're Back! A Dinosaur's Story,9317021,9317021,100.0,,
115,Lost in Yonkers,9285189,9285189,100.0,,
116,Leprechaun,8556940,8556940,100.0,,
117,Mr. Jones,8345845,8345845,100.0,,
118,Dazed and Confused,8145333,8144774,100.0,,
119,Aspen Extreme,8041049,8041049,100.0,,
120,The Meteor Man,8016708,8016708,100.0,,
121,Fatal Instinct,7839327,7839327,100.0,,
122,Lorenzo's Oil,7286388,7286388,100.0,,
123,Searching for Bobby Fischer,7266383,7266383,100.0,,
124,Fearless,6995302,6995302,100.0,,
125,Children of the Corn II: The Final Sacrifice,6980986,6980986,100.0,,
126,The Wedding Banquet,6933459,6933459,100.0,,
127,Fortress,6739141,6739141,100.0,,
128,Best of the Best II,6608687,6608687,100.0,,
129,Once Upon a Forest,6582052,6582052,100.0,,
130,The Real McCoy,6484246,6484246,100.0,,
131,The Temp,6419876,6419876,100.0,,
132,Six Degrees of Separation,6405918,6405918,100.0,,
133,Farewell My Concubine,6129437,5216888,85.1,890291.0,14.5
134,Short Cuts,6110979,6110979,100.0,,
135,The Cemetery Club,6011745,6011745,100.0,,
136,Heaven & Earth,5864949,5864949,100.0,,
137,Batman: Mask of the Phantasm,5830391,5617391,96.3,213000.0,3.7
138,Hear No Evil,5679569,5679569,100.0,,
139,Swing Kids,5632086,5632086,100.0,,
140,Three of Hearts,5495507,5495507,100.0,,
141,Orlando,5319445,5319445,100.0,,
142,Jack the Bear,5145823,5145823,100.0,,
143,Ghost in the Machine,5086909,5086909,100.0,,
144,Surf Ninjas,4916135,4916135,100.0,,
145,Into the West,4791029,4790801,100.0,,
146,"Blood In, Blood Out",4496583,4496583,100.0,,
147,Mr. Nanny,4348572,4348572,100.0,,
148,This Boy's Life,4104962,4104962,100.0,,
149,Warlock: The Armageddon,3902679,3902679,100.0,,
150,Tom and Jerry: The Movie,3560469,3560469,100.0,,
151,Father Hood,3418141,3418141,100.0,,
152,My Boyfriend's Back,3335984,3335984,100.0,,
153,Screen Two: The Snapper,3323524,3323524,100.0,,
154,Happily Ever After,3299382,3299382,100.0,,
155,Only the Strong,3283371,3283371,100.0,,
156,Splitting Heirs,3246063,3246063,100.0,,
157,Mr. Wonderful,3125424,3125424,100.0,,
158,Airborne,2850263,2850263,100.0,,
159,The Judas Project,2850135,2850135,100.0,,
160,Map of the Human Heart,2807843,2806881,100.0,,
161,Hexed,2786807,2786807,100.0,,
162,Calendar Girl,2570550,2570550,100.0,,
163,Son of the Pink Panther,2438031,2438031,100.0,,
164,Kalifornia,2395231,2395231,100.0,,
165,Rich in Love,2149866,2149866,100.0,,
166,The Nutcracker,2119994,2119994,100.0,,
167,Screen Two: The Clothes in the Wardrobe,2106846,2106846,100.0,,
168,Married to It,2059832,2059832,100.0,,
169,El Mariachi,2040920,2040920,100.0,,
170,Nemesis,2001124,2001124,100.0,,
171,The Story of Qiu Ju,1890247,1890247,100.0,,
172,The Night We Never Met,1884814,1884814,100.0,,
173,Boxing Helena,1796389,1796389,100.0,,
174,Naked,1769305,1769305,100.0,,
175,Carnosaur,1753979,1753979,100.0,,
176,A Home of Our Own,1677807,1677807,100.0,,
177,Josh and S.A.M.,1640220,1640220,100.0,,
178,Black Diamond Rush,1634386,1634386,100.0,,
179,Wide Sargasso Sea,1614784,1614784,100.0,,
180,A Heart in Winter,1605437,1605437,100.0,,
181,M. Butterfly,1498795,1498795,100.0,,
182,A Dangerous Woman,1497222,1497222,100.0,,
183,Ernest Rides Again,1450029,1450029,100.0,,
184,Shadow of the Wolf,1434174,1434174,100.0,,
185,Three Colors: Blue,1324974,1324974,100.0,,
186,Thirty Two Short Films About Glenn Gould,1319521,1319521,100.0,,
187,Baraka,1256698,1254237,99.8,,
188,King of the Hill,1214231,1214231,100.0,,
189,"Olivier, Olivier",1154476,1154476,100.0,,
190,Excessive Force,1152117,1152117,100.0,,
191,Money for Nothing,1039824,1039824,100.0,,
192,The Thing Called Love,1029721,1029721,100.0,,
193,Love Field,1014726,1014726,100.0,,
194,"We Love It!/The Man Who Yelled/The Stain/Billy Nayer/Little Wolf/The Square of Light/Prehistoric Beast/I Think I Was an Alcoholic/The Sandman/Words, Words, Words/Gahan Wilson's Diner",1012881,1012881,100.0,,
195,Ruby in Paradise,1001437,1001437,100.0,,
196,The Stolen Children,931280,931280,100.0,,
197,Knight Moves,923418,923418,100.0,,
198,The War Room,901668,901668,100.0,,
199,Street Knight,841015,841015,100.0,,
200,The Last Days of Chez Nous,831578,831578,100.0,,
