rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Beverly Hills Cop,234760478,234760478,100.0,,
2,Ghostbusters,229378653,229242989,99.9,122597.0,0.1
3,Indiana Jones and the Temple of Doom,179877399,179870271,100.0,,
4,Gremlins,148171538,148168459,100.0,,
5,The Karate Kid,90817155,90815558,100.0,,
6,Police Academy,81198894,81198894,100.0,,
7,Footloose,80038626,80035402,100.0,,
8,Romancing the Stone,76572547,76572238,100.0,137.0,0.1
9,Star Trek III: The Search for Spock,76551989,76471046,99.9,80943.0,0.1
10,Splash,69821334,69821334,100.0,,
11,Purple Rain,68394538,68392977,100.0,,
12,Amadeus,51567444,51564280,100.0,,
13,Tightrope,48143579,48143579,100.0,,
14,The Natural,47951979,47951979,100.0,,
15,"Greystoke: The Legend of Tarzan, Lord of the Apes",45858563,45858563,100.0,,
16,Revenge of the Nerds,40874452,40874452,100.0,,
17,2010,40400657,40400657,100.0,,
18,Breakin',38682707,38682707,100.0,,
19,Bachelor Party,38435947,38435947,100.0,,
20,Red Dawn,38376497,38376497,100.0,,
21,The Terminator,38375126,38371200,100.0,,
22,City Heat,38348988,38348988,100.0,,
23,All of Me,36403064,36403064,100.0,,
24,Places in the Heart,34901614,34901614,100.0,,
25,The Killing Fields,34700291,34700291,100.0,,
26,Friday the 13th: The Final Chapter,32981320,32980880,100.0,,
27,Conan the Destroyer,31042035,31042035,100.0,,
28,Dune,30928421,30925690,100.0,1175.0,0.1
29,The Gods Must Be Crazy,30031783,30031783,100.0,,
30,Starman,28744356,28744356,100.0,,
31,The Last Starfighter,28735229,28733290,100.0,,
32,Cannonball Run II,28078073,28078073,100.0,,
33,Teachers,27774237,27774237,100.0,,
34,A Passage to India,27187653,27187653,100.0,,
35,Pinocchio 1984 Re-release,26414038,26414038,100.0,,
36,Protocol,26186631,26186631,100.0,,
37,Micki + Maude,26080861,26080861,100.0,,
38,The Cotton Club,25928721,25928721,100.0,,
39,The Muppets Take Manhattan,25535432,25534703,100.0,,
40,A Nightmare on Elm Street,25510697,25504513,100.0,,
41,The Woman in Red,25349388,25308147,99.8,41241.0,0.2
42,Moscow on the Hudson,25068724,25068724,100.0,,
43,The Flamingo Kid,23859382,23859382,100.0,,
44,Sixteen Candles,23686027,23686027,100.0,,
45,The Jungle Book 1984 Re-release,23456945,23456945,100.0,,
46,Missing in Action,22812411,22812411,100.0,,
47,A Soldier's Story,21821347,21821347,100.0,,
48,Against All Odds,21689062,21689062,100.0,,
49,"Oh, God! You Devil",21538850,21538850,100.0,,
50,Rhinestone,21435321,21435321,100.0,,
51,Weekend Pass,21058033,21058033,100.0,,
52,Top Secret!,20458340,20458340,100.0,,
53,Hot Dog... The Movie,20307325,20307325,100.0,,
54,The NeverEnding Story,20162419,20158808,100.0,,
55,Unfaithfully Yours,19928200,19928200,100.0,,
56,Best Defense,19265302,19265302,100.0,,
57,Blame It on Rio,18644570,18644570,100.0,,
58,Lassiter,17513452,17513452,100.0,,
59,Angel,17488564,17488564,100.0,,
60,Johnny Dangerously,17124395,17124395,100.0,,
61,Firestarter,17080167,17080167,100.0,,
62,Beat Street,16596465,16595791,100.0,,
63,Breakin' 2: Electric Boogaloo,15101131,15101131,100.0,,
64,Children of the Corn,14568989,14568989,100.0,,
65,Night of the Comet,14418922,14418922,100.0,,
66,Supergirl,14296438,14296438,100.0,,
67,The Ice Pirates,14255801,14255801,100.0,,
68,The Evil That Men Do,13102025,13102025,100.0,,
69,Irreconcilable Differences,12414210,12414210,100.0,,
70,Dreamscape,12145169,12145169,100.0,,
71,Up the Creek,11708269,11708269,100.0,,
72,The River,11489982,11489982,100.0,,
73,Tank,11302884,11302884,100.0,,
74,Falling in Love,11129057,11129057,100.0,,
75,Hard to Hold,11113806,11113806,100.0,,
76,The Wild Life,11020375,11020375,100.0,,
77,Broadway Danny Rose,10600497,10600497,100.0,,
78,Where the Boys Are,10530000,10530000,100.0,,
79,Thief of Hearts,10435015,10435015,100.0,,
80,Terror in the Aisles,10004817,10004817,100.0,,
81,Cloak and Dagger,9719952,9719952,100.0,,
82,Country,9640000,9640000,100.0,,
83,Bolero,8914881,8914881,100.0,,
84,Body Double,8802128,8801940,100.0,,
85,Oxford Blues,8793152,8793152,100.0,,
86,The Bounty,8613462,8613462,100.0,,
87,1984,8430492,8430492,100.0,,
88,Reckless,8289916,8289916,100.0,,
89,The Philadelphia Experiment,8103330,8103330,100.0,,
90,Streets of Fire,8089767,8089290,100.0,,
91,Just the Way You Are,7889694,7889694,100.0,,
92,The Little Drummer Girl,7828841,7828841,100.0,,
93,Ninja III: The Domination,7610785,7610785,100.0,,
94,Iceman,7343032,7343032,100.0,,
95,Hardbodies,7121719,7121719,100.0,,
96,Alphabet City,7035585,7035585,100.0,,
97,The Pope of Greenwich Village,6836201,6836201,100.0,,
98,Runaway,6770587,6770587,100.0,,
99,Swing Shift,6650206,6650206,100.0,,
100,The Razor's Edge,6551987,6551987,100.0,,
101,The Adventures of Buckaroo Banzai Across the 8th Dimension,6254148,6254148,100.0,,
102,Firstborn,6250994,6250994,100.0,,
103,Racing with the Moon,6045647,6045647,100.0,,
104,Sheena,5778353,5778353,100.0,,
105,The Lonely Guy,5718573,5718573,100.0,,
106,Meatballs Part II,5410972,5410972,100.0,,
107,Stop Making Sense,5398416,4949438,91.7,448978.0,8.3
108,Once Upon a Time in America,5322989,5321508,100.0,1481.0,0.1
109,Love Letters,5269990,5269990,100.0,,
110,The Hotel New Hampshire,5142858,5142858,100.0,,
111,American Dreamer,5021751,5021751,100.0,,
112,No Small Affair,4994094,4994094,100.0,,
113,Harry & Son,4864980,4864980,100.0,,
114,"Grandview, U.S.A.",4743119,4743119,100.0,,
115,C.H.U.D.,4654423,4654423,100.0,,
116,Making the Grade,4561346,4561346,100.0,,
117,This Is Spinal Tap,4491645,4491645,100.0,,
118,Joy of Sex,4463841,4463841,100.0,,
119,Mrs. Soffel,4385312,4385312,100.0,,
120,Until September,4239154,4239154,100.0,,
121,Pete's Dragon 1984 Re-release,4100000,4100000,100.0,,
122,Entre Nous,3974975,3974975,100.0,,
123,Flashpoint,3854833,3854833,100.0,,
124,Cheech & Chong's: The Corsican Brothers,3772785,3772785,100.0,,
125,Exterminator 2,3739406,3739406,100.0,,
126,The Brother from Another Planet,3677209,3677209,100.0,,
127,"Careful, He Might Hear You",2938179,2938179,100.0,,
128,Crimes of Passion,2912945,2912945,100.0,,
129,The Warrior and the Sorceress,2886225,2886225,100.0,,
130,Phar Lap,2878404,2878404,100.0,,
131,Impulse,2773433,2773433,100.0,,
132,The Bear,2687148,2687148,100.0,,
133,Under the Volcano,2556800,2556800,100.0,,
134,"Silent Night, Deadly Night",2491460,2491460,100.0,,
135,Choose Me,2490233,2490233,100.0,,
136,Stranger Than Paradise,2454363,2436000,99.3,18363.0,0.7
137,A Sunday in the Country,2411143,2411143,100.0,,
138,"Paris, Texas",2217728,2181987,98.4,30362.0,1.4
139,Electric Dreams,2193612,2193612,100.0,,
140,Purple Hearts,2075282,2075282,100.0,,
141,The Buddy System,1820049,1820049,100.0,,
142,Body Rock,1689501,1689501,100.0,,
143,Misunderstood,1525532,1525532,100.0,,
144,Garbo Talks,1493782,1493782,100.0,,
145,Finders Keepers,1467396,1467396,100.0,,
146,Birdy,1455045,1455045,100.0,,
147,Sahara,1402962,1402962,100.0,,
148,Gabriela,1318839,1318839,100.0,,
149,A Christmas Story 1984 Re-release,1311065,1311065,100.0,,
150,The River Rat,1142944,1142944,100.0,,
151,Mike's Murder,1059966,1059966,100.0,,
152,Comfort and Joy,1057368,1057368,100.0,,
153,The Bostonians,1009700,1009700,100.0,,
154,The Power,929162,929162,100.0,,
155,Songwriter,865915,865915,100.0,,
156,Scandalous,526805,526805,100.0,,
157,Windy City,343890,343890,100.0,,
158,The Stone Boy,261033,261033,100.0,,
159,Champions,200498,200498,100.0,,
160,Razorback,150140,150140,100.0,,
161,Heartbreakers,148750,148750,100.0,,
162,Crackers,129268,129268,100.0,,
163,Repo Man,129000,129000,100.0,,
164,Eureka,123572,123572,100.0,,
165,Slayground,108128,108128,100.0,,
