rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,The Eight Hundred,461421559,372755.0,0.1,461048804.0,99.9
2,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,453230408,49505008.0,10.9,403725400.0,89.1
3,Bad Boys for Life,426505244,206305244.0,48.4,220200000.0,51.6
4,"My People, My Homeland",422390820,,,422390820.0,100.0
5,Tenet,365304105,58504105.0,16.0,306800000.0,84.0
6,Sonic the Hedgehog,319715683,148974665.0,46.6,170741018.0,53.4
7,Dolittle,251410631,77047065.0,30.6,174363566.0,69.4
8,Jiang Ziya,240646355,214670.0,0.1,240431685.0,99.9
9,A Little Red Flower,216000000,,,216000000.0,100.0
10,The Croods: A New Age,215905815,58568815.0,27.1,157337000.0,72.9
11,Birds of Prey,205358461,84158461.0,41.0,121200000.0,59.0
12,Shock Wave 2,198921659,,,198921659.0,100.0
13,Wonder Woman 1984,169601036,46801036.0,27.6,122800000.0,72.4
14,The Sacrifice,161047608,,,161047608.0,100.0
15,The Invisible Man,144492724,70410000.0,48.7,74082724.0,51.3
16,Onward,141940042,61555145.0,43.4,80384897.0,56.6
17,Warm Hug,129240236,,,129240236.0,100.0
18,Soul,121903885,946154.0,0.8,120957731.0,99.2
19,The Call of the Wild,111166669,62342368.0,56.1,48824301.0,43.9
20,Mamma Mia! Here We Go Again 2020 Re-release,85768073,,,85762586.0,100.0
21,Mamma Mia! 2020 Re-release,84604815,,,84579977.0,100.0
22,Caught in Time,80543319,,,80543319.0,100.0
23,Mulan,69965374,,,69965374.0,100.0
24,The Yin-Yang Master: Dream of Eternity,68000000,,,68000000.0,100.0
25,Stand by Me Doraemon 2,65201374,,,65201374.0,100.0
26,The Rescue,64237554,18797.0,0.1,64218757.0,100.0
27,Love You Forever,60670799,,,60670799.0,100.0
28,Greenland,52300000,,,52300000.0,100.0
29,Tolo Tolo,52186426,,,52186426.0,100.0
30,Vanguard,50866901,793525.0,1.6,50073376.0,98.4
31,Fantasy Island,49447308,27309289.0,55.2,22138019.0,44.8
32,Trolls World Tour,49276818,450000.0,0.9,48826818.0,99.1
33,The New Mutants,49169594,23852659.0,48.5,25316935.0,51.5
34,After We Collided,47990414,2386483.0,5.0,45603931.0,95.0
35,"From Today, It's My Turn: The Movie",47895887,,,47895887.0,100.0
36,Tanhaji: The Unsung Warrior,45221814,,,45221814.0,100.0
37,Unhinged,44331465,20831465.0,47.0,23500000.0,53.0
38,The End of Endless Love,43950000,,,43950000.0,100.0
39,The War with Grandpa,43387638,21277892.0,49.0,22109746.0,51.0
40,Peninsula,42698327,1231407.0,2.9,41466920.0,97.1
41,Monster Hunter,42145959,15162470.0,36.0,26983489.0,64.0
42,Underwater,40882928,17291078.0,42.3,23591850.0,57.7
43,Bloodshot,39861118,12561824.0,31.5,27299294.0,68.5
44,Sarileru Neekevvaru,37389889,821000.0,2.2,36568889.0,97.8
45,The Untold Tale of the Three Kingdoms,36747486,,,36747486.0,100.0
46,The Confidence Man JP: Princess,36109913,,,36109913.0,100.0
47,The Man Standing Next,34664900,113527.0,0.3,34551373.0,99.7
48,My Mom is a Character 3,34360029,,,34360029.0,100.0
49,Doraemon the Movie: Nobita's New Dinosaur,34218525,,,34218525.0,100.0
