rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Grease,159985901,159978870.0,100.0,1179.0,0.1
2,Superman,134218018,134218018.0,100.0,,
3,National Lampoon's Animal House,120098342,120091123.0,100.0,7219.0,0.1
4,Every Which Way But Loose,85196485,85196485.0,100.0,,
5,Heaven Can Wait,81640278,81640278.0,100.0,,
6,Hooper,78000000,78000000.0,100.0,,
7,Jaws 2,77737272,77737272.0,100.0,,
8,Revenge of the Pink Panther,49579269,49579269.0,100.0,,
9,The Deer Hunter,48994473,48979328.0,100.0,12498.0,0.1
10,Halloween,47000000,47000000.0,100.0,,
11,Foul Play,44999621,44999621.0,100.0,,
12,The End,44917151,44917151.0,100.0,,
13,Up in Smoke,44364244,44364244.0,100.0,,
14,Midnight Express,35000000,35000000.0,100.0,,
15,Coming Home,32653905,32653905.0,100.0,,
16,The Lord of the Rings,30474857,30471420.0,100.0,,
17,House Calls,28460702,28460702.0,100.0,,
18,Damien: Omen II,26518355,26518355.0,100.0,,
19,Invasion of the Body Snatchers,24947247,24946533.0,100.0,,
20,Convoy,22765081,22765081.0,100.0,,
21,The Wiz,21049053,21049053.0,100.0,,
22,F.I.S.T.,20388920,20388920.0,100.0,,
23,Sgt. Pepper's Lonely Hearts Club Band,20378470,20378470.0,100.0,,
24,Eyes of Laura Mars,20000000,20000000.0,100.0,,
25,The One and Only,16928137,16928137.0,100.0,,
26,Return from Witch Mountain,16393000,16393000.0,100.0,,
27,Corvette Summer,15514367,15514367.0,100.0,,
28,The Greek Tycoon,14672713,14672713.0,100.0,,
29,Death on the Nile,14560084,14560084.0,100.0,,
30,The Buddy Holly Story,14363400,14363400.0,100.0,,
31,The Big Fix,13062708,13062708.0,100.0,,
32,The Other Side of the Mountain: Part II,11565678,11565678.0,100.0,,
33,Moment by Moment,10963824,10963824.0,100.0,,
34,Interiors,10432366,10432366.0,100.0,,
35,Straight Time,9900000,9900000.0,100.0,,
36,Comes a Horseman,9585769,9585769.0,100.0,,
37,American Hot Wax,7932571,7932571.0,100.0,,
38,The Brink's Job,7909950,7909950.0,100.0,,
39,Goin' South,7435671,7435671.0,100.0,,
40,King of the Gypsies,7325177,7325177.0,100.0,,
41,Force 10 from Navarone,7230000,7230000.0,100.0,,
42,Paradise Alley,7185518,7185518.0,100.0,,
43,The Bad News Bears Go to Japan,7092495,7092495.0,100.0,,
44,International Velvet,7009238,7009238.0,100.0,,
45,Blue Collar,6521083,6521083.0,100.0,,
46,Pretty Baby,5786368,5786368.0,100.0,,
47,Gray Lady Down,5438927,5438927.0,100.0,,
48,Brass Target,5011158,5011158.0,100.0,,
49,Caravans,3930501,3930501.0,100.0,,
50,Days of Heaven,3450615,3446749.0,99.9,,
51,Our Winning Season,1997705,1997705.0,100.0,,
52,I Wanna Hold Your Hand,1944682,1944682.0,100.0,,
53,Skateboard,1318823,1318823.0,100.0,,
54,Uncle Joe Shannon,494797,494797.0,100.0,,
55,Nunzio,52195,52195.0,100.0,,
56,The Last Waltz,10135,,,,
