rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Inside Out 2,1505606731,613406731.0,40.7,892200000.0,59.3
2,Dune: Part Two,711844358,282144358.0,39.6,429700000.0,60.4
3,Despicable Me 4,677665260,290972260.0,42.9,386693000.0,57.1
4,Godzilla x Kong: The New Empire,567650016,196350016.0,34.6,371300000.0,65.4
5,Kung Fu Panda 4,545626023,193590620.0,35.5,352035403.0,64.5
6,Deadpool & Wolverine,438300000,205000000.0,46.8,233300000.0,53.2
7,Kingdom of the Planet of the Apes,396906534,170938937.0,43.1,225967597.0,56.9
8,Bad Boys: Ride or Die,395242578,191742578.0,48.5,203500000.0,51.5
9,A Quiet Place: Day One,253729330,134229330.0,52.9,119500000.0,47.1
10,The Garfield Movie,221850048,91785767.0,41.4,130064281.0,58.6
11,Twisters,221231140,154931140.0,70.0,66300000.0,30.0
12,Ghostbusters: Frozen Empire,201856657,113376590.0,56.2,88480067.0,43.8
13,IF,186205548,111149917.0,59.7,75055631.0,40.3
14,Bob Marley: One Love,179393170,96893170.0,54.0,82500000.0,46.0
15,The Fall Guy,178034133,92900355.0,52.2,85133778.0,47.8
16,Furiosa: A Mad Max Saga,172775791,67475791.0,39.1,105300000.0,60.9
17,The Beekeeper,152720535,66220535.0,43.4,86500000.0,56.6
18,Civil War,122579945,68603430.0,56.0,53976515.0,44.0
19,Mean Girls,104573204,72404248.0,69.2,32168956.0,30.8
20,Detective Conan: The Million-Dollar Pentagram,100567393,,,100567393.0,100.0
21,Madame Web,100298817,43817106.0,43.7,56481711.0,56.3
22,Exhuma,97974270,2310900.0,2.4,95663370.0,97.6
23,Argylle,96213879,45207275.0,47.0,51006604.0,53.0
24,Challengers,94219408,50119408.0,53.2,44100000.0,46.8
25,Haikyuu!! The Dumpster Battle,93155936,7071622.0,7.6,86084314.0,92.4
26,The Roundup: Punishment,83539202,1154475.0,1.4,82384727.0,98.6
27,A Little Something Extra,70474774,,,70474774.0,100.0
28,Longlegs,66792031,58618928.0,87.8,8173103.0,12.2
29,Night Swim,54729997,32494740.0,59.4,22235257.0,40.6
30,The First Omen,53845880,20092802.0,37.3,33753078.0,62.7
31,Back to Black,51060449,6157705.0,12.1,44902744.0,87.9
32,Tarot,49038555,18771004.0,38.3,30267551.0,61.7
33,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,44354825,17657658.0,39.8,26697167.0,60.2
34,The Strangers: Chapter 1,43399401,35202562.0,81.1,8196839.0,18.9
35,Abigail,42400901,25867515.0,61.0,16533386.0,39.0
36,Imaginary,39150349,28009161.0,71.5,11141188.0,28.5
37,Fly Me to the Moon,36910032,19110032.0,51.8,17800000.0,48.2
38,Monkey Man,35000680,25116955.0,71.8,9883725.0,28.2
39,Arthur the King,34967355,25049006.0,71.6,9918349.0,28.4
40,The Bikeriders,34795306,21668405.0,62.3,13126901.0,37.7
41,Horizon: An American Saga - Chapter 1,33112520,28868721.0,87.2,4243799.0,12.8
42,The Watchers,32971404,19071404.0,57.8,13900000.0,42.2
43,Mobile Suit Gundam Seed Freedom,32125992,,,32125992.0,100.0
44,Doraemon the Movie: Nobita's Earth Symphony,31365025,,,31365025.0,100.0
45,A Strange House,30864331,,,30864331.0,100.0
