rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Spider-Man: No Way Home,1912233593,804793477.0,42.1,1107440116.0,57.9
2,The Battle at Lake Changjin,902548476,342411.0,0.1,902206065.0,100.0
3,"Hi, Mom",822009764,,,822009764.0,100.0
4,No Time to Die,774153007,160891007.0,20.8,613262000.0,79.2
5,F9: The Fast Saga,726229501,173005945.0,23.8,553223556.0,76.2
6,Detective Chinatown 3,686257563,,,686257563.0,100.0
7,Venom: Let There Be Carnage,506863592,213550366.0,42.1,293313226.0,57.9
8,Godzilla vs. Kong,470116094,100916094.0,21.5,369200000.0,78.5
9,Shang-Chi and the Legend of the Ten Rings,432243292,224543292.0,51.9,207700000.0,48.1
10,Sing 2,408402685,162790990.0,39.9,245611695.0,60.1
11,Eternals,402064899,164870234.0,41.0,237194665.0,59.0
12,Dune: Part One,402027830,108327830.0,26.9,293700000.0,73.1
13,Black Widow,379751655,183651655.0,48.4,196100000.0,51.6
14,Free Guy,331526598,121626598.0,36.7,209900000.0,63.3
15,A Quiet Place Part II,297372261,160072261.0,53.8,137300000.0,46.2
16,Encanto,256786742,96093622.0,37.4,160693120.0,62.6
17,Cruella,233503234,86103234.0,36.9,147400000.0,63.1
18,"My Country, My Parents",221831086,177133.0,0.1,221653953.0,99.9
19,Jungle Cruise,220889446,116987516.0,53.0,103901930.0,47.0
20,The Conjuring: The Devil Made Me Do It,206431050,65631050.0,31.8,140800000.0,68.2
21,Raging Fire,205842393,385305.0,0.2,205457088.0,99.8
22,Ghostbusters: Afterlife,204334455,129360575.0,63.3,74973880.0,36.7
23,Chinese Doctors,197143218,,,197143218.0,100.0
24,Cliff Walkers,181325565,152972.0,0.1,181172593.0,99.9
25,The Suicide Squad,168717425,55817425.0,33.1,112900000.0,66.9
26,Jujutsu Kaisen 0,166760828,34542754.0,20.7,132218074.0,79.3
27,Space Jam: A New Legacy,163692228,70592228.0,43.1,93100000.0,56.9
28,The Matrix Resurrections,157386805,37686805.0,23.9,119700000.0,76.1
29,Peter Rabbit 2: The Runaway,153901717,40501717.0,26.3,113400000.0,73.7
30,House of Gucci,153269161,53809574.0,35.1,99459587.0,64.9
31,A Writer's Odyssey,150123320,160013.0,0.1,149963307.0,99.9
32,The Boss Baby 2: Family Business,146745280,57300280.0,39.0,89445000.0,61.0
33,PAW Patrol: The Movie,144327371,40127371.0,27.8,104200000.0,72.2
34,Tom & Jerry,136536687,46536687.0,34.1,90000000.0,65.9
35,Be Somebody,132326332,,,132326332.0,100.0
36,Halloween Kills,131647155,92002155.0,69.9,39645000.0,30.1
37,Raya and the Last Dragon,130423032,54723032.0,42.0,75700000.0,58.0
38,Sister,128317206,,,128317206.0,100.0
39,The King's Man,125897478,37176373.0,29.5,88721105.0,70.5
40,The Addams Family 2,119815153,56489153.0,47.1,63326000.0,52.9
41,My Love,116720921,86252.0,0.1,116634669.0,99.9
