rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Frozen,1280802282,400738009.0,31.3,880064273,68.7
2,Iron Man 3,1214811252,409013994.0,33.7,805797258,66.3
3,Despicable Me 2,970766005,368065385.0,37.9,602700620,62.1
4,The Hobbit: The Desolation of Smaug,958366855,258366855.0,27.0,700000000,73.0
5,The Hunger Games: Catching Fire,865011746,424668047.0,49.1,440343699,50.9
6,Fast & Furious 6,788679850,238679850.0,30.3,550000000,69.7
7,Monsters University,743559607,268492764.0,36.1,475066843,63.9
8,Gravity,723192705,274092705.0,37.9,449100000,62.1
9,Man of Steel,670145518,291045518.0,43.4,379100000,56.6
10,Thor: The Dark World,644783140,206362140.0,32.0,438421000,68.0
11,The Croods,587204668,187168425.0,31.9,400036243,68.1
12,World War Z,540007876,202359711.0,37.5,337648165,62.5
13,Oz the Great and Powerful,493311825,234911825.0,47.6,258400000,52.4
14,Star Trek Into Darkness,467365246,228778661.0,49.0,238586585,51.0
15,The Wolverine,414828246,132556852.0,32.0,282271394,68.0
16,Pacific Rim,411002906,101802906.0,24.8,309200000,75.2
17,The Wolf of Wall Street,392000694,116900694.0,29.8,275100000,70.2
18,G.I. Joe: Retaliation,375740705,122523060.0,32.6,253217645,67.4
19,The Hangover Part III,362000072,112200072.0,31.0,249800000,69.0
20,The Great Gatsby,353641895,144840419.0,41.0,208801476,59.0
21,Now You See Me,351723989,117723989.0,33.5,234000000,66.5
22,The Smurfs 2,347545360,71017784.0,20.4,276527576,79.6
23,The Conjuring,319494638,137400141.0,43.0,182094497,57.0
24,A Good Day to Die Hard,304654182,67349198.0,22.1,237304984,77.9
25,Oblivion,286168572,89107235.0,31.1,197061337,68.9
26,Elysium,286140700,93050117.0,32.5,193090583,67.5
27,Turbo,282570682,83028128.0,29.4,199542554,70.6
28,Cloudy with a Chance of Meatballs 2,274325949,119793567.0,43.7,154532382,56.3
29,Epic,268426634,107518682.0,40.1,160907952,59.9
30,The Lone Ranger,260502115,89302115.0,34.3,171200000,65.7
31,American Hustle,251171807,150117807.0,59.8,101054000,40.2
