rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Star Wars: Episode V - The Empire Strikes Back,209398025,209398025.0,100.0,,
2,9 to 5,103290773,103290500.0,100.0,273.0,0.1
3,Stir Crazy,101300000,101300000.0,100.0,,
4,Airplane!,83454782,83453539.0,100.0,,
5,Any Which Way You Can,70687344,70687344.0,100.0,,
6,Private Benjamin,69847348,69847348.0,100.0,,
7,Coal Miner's Daughter,67182787,67182787.0,100.0,,
8,Smokey and the Bandit II,66132626,66132626.0,100.0,,
9,The Blue Lagoon,58853106,58853106.0,100.0,,
10,The Blues Brothers,57238165,57229890.0,100.0,691.0,0.1
11,Ordinary People,54766923,54766923.0,100.0,,
12,Popeye,49823037,49823037.0,100.0,,
13,Urban Cowboy,46918287,46918287.0,100.0,,
14,The Shining,44081240,44017374.0,99.9,61959.0,0.1
15,Seems Like Old Times,43995918,43995918.0,100.0,,
16,Cheech and Chong's Next Movie,41675194,41675194.0,100.0,,
17,Caddyshack,39846344,39846344.0,100.0,,
18,Friday the 13th,39757840,39754601.0,100.0,,
19,Brubaker,37121708,37121708.0,100.0,,
20,Little Darlings,34326249,34326249.0,100.0,,
21,Dressed to Kill,31899000,31899000.0,100.0,,
22,The Jazz Singer,27118000,27118000.0,100.0,,
23,Flash Gordon,27107960,27107960.0,100.0,,
24,Lady and the Tramp 1980 Re-release,26114207,26114207.0,100.0,,
25,The Elephant Man,26011470,26010864.0,100.0,,
26,Bronco Billy,24265659,24265659.0,100.0,,
27,Raging Bull,23335868,23334953.0,100.0,915.0,0.1
28,Xanadu,22763249,22762571.0,100.0,,
29,American Gigolo,22743674,22743674.0,100.0,,
30,My Bodyguard,22482952,22482952.0,100.0,,
31,The Fog,21378361,21378361.0,100.0,,
32,Fame,21202829,21202829.0,100.0,,
33,Tess,20093330,20093330.0,100.0,,
34,Altered States,19853898,19853892.0,100.0,6.0,0.1
35,Song of the South,19800000,19800000.0,100.0,,
36,Cruising,19785014,19784223.0,100.0,,
37,The Octagon,18971000,18971000.0,100.0,,
38,The Aristocats,18000000,18000000.0,100.0,,
39,Honeysuckle Rose,17815212,17815212.0,100.0,,
40,Herbie Goes Bananas,17000000,17000000.0,100.0,,
41,Rough Cut,16656125,16656125.0,100.0,,
42,The Final Countdown,16647800,16647800.0,100.0,,
43,The Hunter,16274150,16274150.0,100.0,,
44,Hero at Large,15934737,15934737.0,100.0,,
45,The Long Riders,15795189,15795189.0,100.0,,
46,The Island,15716828,15716828.0,100.0,,
47,Close Encounters of the Third Kind 1980 Special Edition,15693175,15693175.0,100.0,,
48,First Family,15198912,15198912.0,100.0,,
49,Prom Night,14796236,14796236.0,100.0,,
50,The Nude Bomb,14662035,14662035.0,100.0,,
51,"Oh, God! Book II",14504277,14504277.0,100.0,,
52,The Competition,14287755,14287755.0,100.0,,
53,Wholly Moses!,14155617,14155617.0,100.0,,
54,Mary Poppins 1980 Re-release,14000000,14000000.0,100.0,,
55,The Last Married Couple in America,12835544,12835544.0,100.0,,
56,Used Cars,11715321,11715321.0,100.0,,
57,The Last Flight of Noah's Ark,11000000,11000000.0,100.0,,
58,The Mirror Crack'd,11000000,11000000.0,100.0,,
59,The Fiendish Plot of Dr. Fu Manchu,10697276,10697276.0,100.0,,
60,Stardust Memories,10389003,10389003.0,100.0,,
61,The Hollywood Knights,10000000,10000000.0,100.0,,
62,Serial,9870727,9870727.0,100.0,,
63,Somewhere in Time,9709597,9709597.0,100.0,,
64,Saturn 3,9000000,9000000.0,100.0,,
65,Tribute,9000000,9000000.0,100.0,,
66,The Formula,8894289,8894289.0,100.0,,
67,Mad Max,8750000,8750000.0,100.0,,
68,Battle Creek Brawl,8527743,8527743.0,100.0,,
69,The Awakening,8415112,8415112.0,100.0,,
70,Fatso,7653061,7653061.0,100.0,,
71,How to Become a Detective,7500000,7500000.0,100.0,,
72,How to Beat the High Cost of Living,7500000,7500000.0,100.0,,
73,Foxes,7470348,7470348.0,100.0,,
74,The Big Red One,7206220,7206220.0,100.0,,
75,The Stunt Man,7063886,7063886.0,100.0,,
76,Where the Buffalo Roam,6659377,6659377.0,100.0,,
77,The Gong Show Movie,6621520,6621520.0,100.0,,
78,Motel Hell,6342668,6342668.0,100.0,,
79,Little Miss Marker,6321392,6321392.0,100.0,,
80,Oh Heavenly Dog,6216067,6216067.0,100.0,,
81,Divine Madness,5318098,5318098.0,100.0,,
82,In God We Trust (or Gimme That Prime Time Religion),5215015,5215015.0,100.0,,
83,He Knows You're Alone,4875436,4875436.0,100.0,,
84,Coast to Coast,4495445,4495445.0,100.0,,
85,Melvin and Howard,4309490,4309490.0,100.0,,
86,Roadie,4226370,4226370.0,100.0,,
87,Gloria,4059673,4059673.0,100.0,,
88,Jaws 2 1980 Re-release,4028735,4028735.0,100.0,,
89,Kagemusha: The Shadow Warrior,4001070,4000000.0,100.0,1070.0,0.1
90,Resurrection,3910019,3910019.0,100.0,,
91,Hide in Plain Sight,3806930,3806930.0,100.0,,
92,Guyana: Cult of the Damned,3798102,3798102.0,100.0,,
93,When Time Ran Out...,3763988,3763988.0,100.0,,
94,Heaven's Gate,3484331,3484331.0,100.0,,
95,North Sea Hijack,2993772,2993772.0,100.0,,
96,Midnight Madness,2900000,2900000.0,100.0,,
97,Loving Couples,2806659,2806659.0,100.0,,
98,The Idolmaker,2625716,2625716.0,100.0,,
99,The Black Marble,2500000,2500000.0,100.0,,
100,Gilda Live,2261507,2261507.0,100.0,,
