rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Who Framed Roger Rabbit,238092487,156452370,65.7,81639668.0,34.3
2,Rain Man,172835580,172825435,100.0,10145.0,0.1
3,Coming to America,128152301,128152301,100.0,,
4,Big,114968970,114968774,100.0,122.0,0.1
5,Twins,111938388,111938388,100.0,,
6,Crocodile Dundee II,109306210,109306210,100.0,,
7,Die Hard,83052633,83008852,99.9,14188.0,0.1
8,The Naked Gun: From the Files of Police Squad!,78756177,78756177,100.0,,
9,Cocktail,78222753,78222753,100.0,,
10,Beetlejuice,73712209,73707461,100.0,2099.0,0.1
11,Working Girl,63779477,63779477,100.0,,
12,A Fish Called Wanda,62493712,62493712,100.0,,
13,Scrooged,60328558,60328558,100.0,,
14,Willow,57269863,57269863,100.0,,
15,Beaches,57041866,57041866,100.0,,
16,Rambo III,53715611,53715611,100.0,,
17,Oliver & Company,53279055,53279055,100.0,,
18,Bull Durham,50888729,50888729,100.0,,
19,A Nightmare on Elm Street 4: The Dream Master,49369899,49369899,100.0,,
20,The Land Before Time,48336291,48336291,100.0,,
21,Colors,46616067,46616067,100.0,,
22,Young Guns,45661556,45661556,100.0,,
23,Biloxi Blues,43184798,43184798,100.0,,
24,Dirty Rotten Scoundrels,42039085,42039085,100.0,,
25,The Great Outdoors,41455230,41455230,100.0,,
26,Tequila Sunrise,41292551,41292551,100.0,,
27,Big Business,40150487,40150487,100.0,,
28,Bambi 1988 Re-release,39047150,39047150,100.0,,
29,Midnight Run,38413606,38413606,100.0,,
30,The Dead Pool,37903295,37903295,100.0,,
31,Red Heat,34994648,34994648,100.0,,
32,Dangerous Liaisons,34670720,34670720,100.0,,
33,Mississippi Burning,34603943,34603943,100.0,,
34,Child's Play,33399041,33244684,99.5,154212.0,0.5
35,The Accidental Tourist,32632093,32632093,100.0,,
36,The Accused,32078318,32078318,100.0,,
37,Shoot to Kill,29300090,29300090,100.0,,
38,Ernest Saves Christmas,28202109,28202109,100.0,,
39,Betrayed,25816139,25816139,100.0,,
40,Funny Farm,25537221,25537221,100.0,,
41,Alien Nation,25216243,25216243,100.0,,
42,Gorillas in the Mist,24720479,24720479,100.0,,
43,The Fox and the Hound 1988 Re-release,23556988,23556988,100.0,,
44,License to Drive,22433275,22433275,100.0,,
45,Short Circuit 2,21630088,21630088,100.0,,
46,Married to the Mob,21486757,21486757,100.0,,
47,Punchline,21042667,21042667,100.0,,
48,The Presidio,20324096,20324096,100.0,,
49,Action Jackson,20256975,20256975,100.0,,
50,Tucker: The Man and His Dream,19652638,19652638,100.0,,
51,The Serpent and the Rainbow,19595031,19595031,100.0,,
52,Police Academy 5: Assignment: Miami Beach,19510371,19510371,100.0,,
53,Friday the 13th: The New Blood,19170001,19170001,100.0,,
54,Cocoon: The Return,18924919,18924919,100.0,,
55,The Seventh Sign,18875011,18875011,100.0,,
56,Above the Law,18869631,18869631,100.0,,
57,Halloween 4: The Return of Michael Myers,17768757,17768757,100.0,,
58,Frantic,17637950,17637950,100.0,,
59,Johnny Be Good,17550399,17550399,100.0,,
60,For Keeps?,17514553,17514553,100.0,,
61,Crossing Delancey,16262415,16262415,100.0,,
62,"Bright Lights, Big City",16118077,16118077,100.0,,
63,She's Having a Baby,16031707,16031707,100.0,,
64,Masquerade,15855828,15855828,100.0,,
65,Big Top Pee-wee,15122324,15122324,100.0,,
66,Arthur 2: On the Rocks,14681192,14681192,100.0,,
67,School Daze,14545844,14545844,100.0,,
68,Poltergeist III,14114488,14114488,100.0,,
69,Stand and Deliver,13994920,13994920,100.0,,
70,My Stepmother Is an Alien,13854000,13854000,100.0,,
71,The Milagro Beanfield War,13825794,13825794,100.0,,
72,Return to Snowy River,13687027,13687027,100.0,,
73,Vice Versa,13664060,13664060,100.0,,
74,They Live,13447978,13447978,100.0,,
75,I'm Gonna Git You Sucka,13030057,13030057,100.0,,
76,Mystic Pizza,12793213,12793213,100.0,,
77,D.O.A.,12706478,12706478,100.0,,
78,Everybody's All-American,12638294,12638294,100.0,,
79,Casual Sex?,12277096,12277096,100.0,,
80,Hellbound: Hellraiser II,12090735,12090735,100.0,,
81,Bloodsport,11806119,11806119,100.0,,
82,Caddyshack II,11798302,11798302,100.0,,
83,Moon Over Parador,11444204,11444204,100.0,,
84,The Couch Trip,11005304,11005304,100.0,,
85,Moving,10815378,10815378,100.0,,
86,Iron Eagle II,10497324,10497324,100.0,,
87,Shakedown,10068039,10068039,100.0,,
88,The Unbearable Lightness of Being,10006806,10006806,100.0,,
89,Bad Dreams,9797098,9797098,100.0,,
90,Return of the Living Dead II,9205924,9205924,100.0,,
91,Switching Channels,9129999,9129999,100.0,,
92,Salsa,8892589,8892589,100.0,,
93,Clean and Sober,8674093,8674093,100.0,,
94,U2: Rattle and Hum,8600823,8600823,100.0,,
95,High Spirits,8578231,8578231,100.0,,
96,Without a Clue,8539181,8539181,100.0,,
97,The Last Temptation of Christ,8373585,8373585,100.0,,
98,Satisfaction,8253123,8253123,100.0,,
99,The Blob,8247943,8247943,100.0,,
100,Dead Ringers,8038508,8038508,100.0,,
101,A New Life,7721852,7721852,100.0,,
102,Stealing Home,7467504,7467504,100.0,,
103,Phantasm II,7282851,7282851,100.0,,
104,Off Limits,7242035,7242035,100.0,,
105,Women on the Verge of a Nervous Breakdown,7179298,7179298,100.0,,
106,A Cry in the Dark,6908797,6908797,100.0,,
107,Hairspray,6672312,6671108,100.0,179.0,0.1
108,Fresh Horses,6640346,6640346,100.0,,
109,Hot to Trot,6436211,6436211,100.0,,
110,Mac and Me,6424112,6424112,100.0,,
111,The Unholy,6337299,6337299,100.0,,
112,A Night in the Life of Jimmy Reardon,6264058,6264058,100.0,,
113,Braddock: Missing in Action III,6193901,6193901,100.0,,
114,1969,5979011,5979011,100.0,,
115,The Rescue,5855392,5855392,100.0,,
116,Eight Men Out,5680515,5680515,100.0,,
117,Elvira: Mistress of the Dark,5596267,5596267,100.0,,
118,Heartbreak Hotel,5509417,5509417,100.0,,
119,Monkey Shines,5344577,5344577,100.0,,
120,Hero and the Terror,5301200,5301200,100.0,,
121,Clara's Heart,5194491,5194491,100.0,,
122,Torch Song Trilogy,4868450,4865997,99.9,2453.0,0.1
123,The Good Mother,4764606,4764606,100.0,,
124,Sunset,4594452,4594452,100.0,,
125,"Goodbye, Children",4542825,4542825,100.0,,
126,Babette's Feast,4398938,4398938,100.0,,
127,Bat*21,3966256,3966256,100.0,,
128,Memories of Me,3965604,3965604,100.0,,
129,Feds,3838793,3838793,100.0,,
130,Critters 2: The Main Course,3813293,3813293,100.0,,
131,Sweet Hearts Dance,3790493,3790493,100.0,,
132,Imagine: John Lennon,3754125,3753977,100.0,148.0,0.1
133,Dead Heat,3588626,3588626,100.0,,
134,Bagdad Cafe,3587303,3587303,100.0,,
135,Tougher Than Leather,3582760,3582760,100.0,,
136,The New Adventures of Pippi Longstocking,3569939,3569939,100.0,,
137,Madame Sousatzka,3548238,3548238,100.0,,
138,Things Change,3527886,3527886,100.0,,
139,The Big Blue,3500411,3500000,100.0,,
140,Talk Radio,3468572,3468572,100.0,,
141,Pumpkinhead,3385516,3385516,100.0,,
142,Wings of Desire,3230386,3210139,99.4,19432.0,0.6
143,Night of the Demons,3109904,3109904,100.0,,
144,White Mischief,3107551,3107551,100.0,,
145,Dominick and Eugene,3076031,3076031,100.0,,
146,Messenger of Death,3074681,3074681,100.0,,
147,Running on Empty,2835116,2835116,100.0,,
148,The Manchurian Candidate 1988 Re-release,2757256,2757256,100.0,,
149,18 Again!,2567099,2567099,100.0,,
150,Kansas,2432536,2432536,100.0,,
151,A World Apart,2326860,2326860,100.0,,
