rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Harry Potter and the Goblet of Fire,895921036,290013036.0,32.4,605908000.0,67.6
2,Star Wars: Episode III - Revenge of the Sith,868352530,380270577.0,43.8,488081953.0,56.2
3,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,291710957.0,39.2,453302158.0,60.8
4,War of the Worlds,603873119,234280354.0,38.8,369592765.0,61.2
5,King Kong,556906378,218080025.0,39.2,338826353.0,60.8
6,Madagascar,542063846,193595521.0,35.7,348468325.0,64.3
7,Mr. & Mrs. Smith,487287646,186336279.0,38.2,300951367.0,61.8
8,Charlie and the Chocolate Factory,474968763,206459076.0,43.5,268509687.0,56.5
9,Batman Begins,373443774,205343774.0,55.0,168100000.0,45.0
10,Hitch,371594210,179495555.0,48.3,192098655.0,51.7
11,Fantastic Four,333535934,154696080.0,46.4,178839854.0,53.6
12,Chicken Little,314432837,135386665.0,43.1,179046172.0,56.9
13,Wedding Crashers,288467645,209255921.0,72.5,79211724.0,27.5
14,Robots,262511490,128200012.0,48.8,134311478.0,51.2
15,Constantine,230884728,75976178.0,32.9,154908550.0,67.1
16,Flightplan,223387299,89707299.0,40.2,133680000.0,59.8
17,Kingdom of Heaven,218122627,47398413.0,21.7,170724214.0,78.3
18,Fun with Dick and Jane,204681899,110332737.0,53.9,94349162.0,46.1
19,The Pacifier,198636868,113086868.0,56.9,85550000.0,43.1
20,Wallace & Gromit: The Curse of the Were-Rabbit,192614977,56110897.0,29.1,136504080.0,70.9
21,The Longest Yard,191466556,158119460.0,82.6,33347096.0,17.4
22,Walk the Line,186797986,119519402.0,64.0,67278584.0,36.0
23,Brokeback Mountain,178062759,83043761.0,46.6,95018998.0,53.4
24,The 40-Year-Old Virgin,177378645,109449237.0,61.7,67929408.0,38.3
25,The Ring Two,163995949,76231249.0,46.5,87764700.0,53.5
26,The Island,162949164,35818913.0,22.0,127130251.0,78.0
27,The Interpreter,162944923,72708161.0,44.6,90236762.0,55.4
28,Memoirs of a Geisha,162242962,57490508.0,35.4,104752454.0,64.6
29,Sin City,158733820,74103820.0,46.7,84630000.0,53.3
30,Monster-in-Law,155457327,82931301.0,53.3,72526026.0,46.7
31,Saw II,147748505,87039965.0,58.9,60708540.0,41.1
32,The Exorcism of Emily Rose,145166804,75072454.0,51.7,70094350.0,48.3
33,Herbie Fully Loaded,144146816,66023816.0,45.8,78123000.0,54.2
34,The Legend of Zorro,142400065,46464023.0,32.6,95936042.0,67.4
35,Bewitched,131426169,63313159.0,48.2,68113010.0,51.8
36,Munich,130982129,47403685.0,36.2,83578444.0,63.8
37,Cheaper by the Dozen 2,130154568,82571173.0,63.4,47583395.0,36.6
38,March of the Penguins,127392693,77437223.0,60.8,49955470.0,39.2
39,Nanny McPhee,123276807,47144110.0,38.2,76132697.0,61.8
40,Hide and Seek,123204920,51100486.0,41.5,72104434.0,58.5
41,Pride & Prejudice,121616555,38405088.0,31.6,83211467.0,68.4
42,Sahara,119240351,68671925.0,57.6,50568426.0,42.4
43,Corpse Bride,118090836,53359111.0,45.2,64731725.0,54.8
44,The Dukes of Hazzard,111069515,80270227.0,72.3,30799288.0,27.7
45,Hoodwinked!,110013167,51386611.0,46.7,58626556.0,53.3
46,Cinderella Man,108539911,61649911.0,56.8,46890000.0,43.2
47,The Amityville Horror,107516369,65233369.0,60.7,42283000.0,39.3
48,The Brothers Grimm,105316267,37916267.0,36.0,67400000.0,64.0
49,The Hitchhiker's Guide to the Galaxy,104478416,51085416.0,48.9,53393000.0,51.1
50,Guess Who,103121466,68915888.0,66.8,34205578.0,33.2
51,Just Like Heaven,102854431,48318130.0,47.0,54536301.0,53.0
52,Miss Congeniality 2: Armed & Fabulous,101393569,48478006.0,47.8,52915563.0,52.2
53,Crash,98410061,54580300.0,55.5,43829761.0,44.5
54,Are We There Yet?,97918663,82674398.0,84.4,15244265.0,15.6
55,Jarhead,97076152,62658220.0,64.5,34417932.0,35.5
56,Red Eye,96258201,57891803.0,60.1,38366398.0,39.9
57,Be Cool,95763716,56046979.0,58.5,39716737.0,41.5
58,The Skeleton Key,93983911,47907715.0,51.0,46076196.0,49.0
59,Syriana,93974620,50824620.0,54.1,43150000.0,45.9
60,The Family Stone,92884429,60062868.0,64.7,32821561.0,35.3
61,Four Brothers,92374674,74494381.0,80.6,17880293.0,19.4
62,White Noise,91196419,56386759.0,61.8,34809660.0,38.2
63,Racing Stripes,90754475,49772522.0,54.8,40981953.0,45.2
64,Transporter 2,89083229,43095856.0,48.4,45987373.0,51.6
65,Rumor Has It...,88933562,43000262.0,48.4,45933300.0,51.6
66,Sky High,86369815,63946815.0,74.0,22423000.0,26.0
67,Match Point,85638656,23151529.0,27.0,62487127.0,73.0
68,In Her Shoes,83697473,32880591.0,39.3,50816882.0,60.7
69,The Constant Gardener,82466670,33579797.0,40.7,48886873.0,59.3
70,Stealth,79268322,32116746.0,40.5,47151576.0,59.5
71,Hostage,77608617,34639939.0,44.6,42968678.0,55.4
72,Coach Carter,76669554,67264877.0,87.7,9404677.0,12.3
73,The King and the Clown,74466867,,,74466867.0,100.0
74,"Yours, Mine & Ours",72662923,53412862.0,73.5,19250061.0,26.5
75,Lord of War,72617068,24149632.0,33.3,48467436.0,66.7
76,The Adventures of Sharkboy and Lavagirl 3-D,71992655,39177684.0,54.4,32814971.0,45.6
77,xXx: State of the Union,71410636,26873932.0,37.6,44536704.0,62.4
78,House of Wax,68766121,32064800.0,46.6,36701321.0,53.4
79,Prime,67937494,22827153.0,33.6,45110341.0,66.4
80,Boogeyman,67192859,46752382.0,69.6,20440477.0,30.4
81,Zathura: A Space Adventure,65079236,29258869.0,45.0,35820235.0,55.0
82,Valiant,61746888,19478106.0,31.5,42268782.0,68.5
83,A History of Violence,61385065,31504633.0,51.3,29880432.0,48.7
84,Son of the Mask,59981548,17018422.0,28.4,42963126.0,71.6
85,Must Love Dogs,58231520,43894863.0,75.4,14336657.0,24.6
86,Doom,58072119,28212337.0,48.6,29859782.0,51.4
87,Derailed,57479076,36024076.0,62.7,21455000.0,37.3
88,The Descent,57051053,26024456.0,45.6,31026597.0,54.4
89,Elektra,56995646,24409722.0,42.8,32585924.0,57.2
90,Kicking & Screaming,56070433,52842724.0,94.2,3227709.0,5.8
91,"Good Night, and Good Luck.",54641191,31558003.0,57.8,23083188.0,42.2
92,Æon Flux,53321673,25874337.0,48.5,27447336.0,51.5
93,Pooh's Heffalump Movie,52858433,18098433.0,34.2,34760000.0,65.8
94,Elizabethtown,52164016,26850426.0,51.5,25313590.0,48.5
95,Just Friends,50912434,32619671.0,64.1,18292763.0,35.9
96,Unleashed,50871113,24537621.0,48.2,26333492.0,51.8
97,Diary of a Mad Black Woman,50652203,50633099.0,100.0,19104.0,0.1
98,Fever Pitch,50605163,42071069.0,83.1,8534094.0,16.9
99,Capote,49327405,28750530.0,58.3,20576875.0,41.7
100,Broken Flowers,47329961,13744960.0,29.0,33585001.0,71.0
101,The Wedding Date,47096206,31726995.0,67.4,15369211.0,32.6
102,Land of the Dead,47074133,20700082.0,44.0,26374051.0,56.0
103,Get Rich or Die Tryin',46563961,30985352.0,66.5,15578609.0,33.5
104,The Fog,46201432,29550869.0,64.0,16650563.0,36.0
105,Into the Blue,46117696,18801234.0,40.8,27316462.0,59.2
