rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Star Wars: Episode I - The Phantom Menace,924305084,431088295.0,46.6,493216789.0,53.4
2,The Sixth Sense,672806292,293506292.0,43.6,379300000.0,56.4
3,Toy Story 2,487059677,245852179.0,50.5,241207498.0,49.5
4,The Matrix,463517383,171479930.0,37.0,292037453.0,63.0
5,Tarzan,448191819,171091819.0,38.2,277100000.0,61.8
6,Notting Hill,363889678,116089678.0,31.9,247800000.0,68.1
7,American Beauty,356296601,130096601.0,36.5,226200000.0,63.5
8,Runaway Bride,309460292,152257509.0,49.2,157202783.0,50.8
9,Stuart Little,300135367,140035367.0,46.7,160100000.0,53.3
10,The Green Mile,286801374,136801374.0,47.7,150000000.0,52.3
11,The Blair Witch Project,248639099,140539099.0,56.5,108100000.0,43.5
12,American Pie,235483004,102561004.0,43.6,132922000.0,56.4
13,Big Daddy,234801895,163479795.0,69.6,71322100.0,30.4
14,Wild Wild West,222104681,113804681.0,51.2,108300000.0,48.8
15,Entrapment,212404396,87704396.0,41.3,124700000.0,58.7
16,End of Days,211989043,66889043.0,31.6,145100000.0,68.4
17,Austin Powers: The Spy Who Shagged Me,206756056,206040086.0,99.7,715970.0,0.3
18,Sleepy Hollow,206071502,101071502.0,49.0,105000000.0,51.0
19,Double Jeopardy,177841558,116741558.0,65.6,61100000.0,34.4
20,The Haunting,177311151,91411151.0,51.6,85900000.0,48.4
21,Analyze This,176885658,106885658.0,60.4,70000000.0,39.6
22,Deep Blue Sea,164648142,73648142.0,44.7,91000000.0,55.3
23,Pokémon: The First Movie - Mewtwo Strikes Back,163644662,85744662.0,52.4,77900000.0,47.6
24,Eyes Wide Shut,162091208,55691208.0,34.4,106400000.0,65.6
25,Payback,161626121,81526121.0,50.4,80100000.0,49.6
26,Princess Mononoke,159414369,2375308.0,1.5,157039061.0,98.5
27,The Mummy,155698147,155516138.0,99.9,177949.0,0.1
28,The Bone Collector,151493655,66518655.0,43.9,84975000.0,56.1
29,The General's Daughter,149705852,102705852.0,68.6,47000000.0,31.4
30,Inspector Gadget,134403112,97403112.0,72.5,37000000.0,27.5
31,The Talented Mr. Ripley,128798265,81298265.0,63.1,47500000.0,36.9
32,The World Is Not Enough,126943746,126943684.0,100.0,,
33,The Thomas Crown Affair,124305181,69305181.0,55.8,55000000.0,44.2
34,Message in a Bottle,118880016,52880016.0,44.5,66000000.0,55.5
35,Blue Streak,117758500,68518533.0,58.2,49239967.0,41.8
36,Anna and the King,113996937,39263420.0,34.4,74733517.0,65.6
37,Three Kings,107752036,60652036.0,56.3,47100000.0,43.7
38,She's All That,103166989,63366989.0,61.4,39800000.0,38.6
39,Fight Club,100853753,37030102.0,36.7,63823651.0,63.3
40,Any Given Sunday,100230832,75530832.0,75.4,24700000.0,24.6
41,Bowfinger,98625775,66384775.0,67.3,32241000.0,32.7
42,8MM,96618699,36663315.0,37.9,59955384.0,62.1
43,Forces of Nature,93900680,52900680.0,56.3,41000000.0,43.7
44,Deuce Bigalow: Male Gigolo,92938755,65538755.0,70.5,27400000.0,29.5
45,Galaxy Quest,90683916,71583916.0,78.9,19100000.0,21.1
46,Stigmata,89446268,50046268.0,56.0,39400000.0,44.0
47,The Cider House Rules,88545092,57545092.0,65.0,31000000.0,35.0
48,Bicentennial Man,87423861,58223861.0,66.6,29200000.0,33.4
