rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Armageddon,553709788,201578182,36.4,352131606.0,63.6
2,Saving Private Ryan,481840909,216540909,44.9,265300000.0,55.1
3,Godzilla,379014294,136314294,36.0,242700000.0,64.0
4,There's Something About Mary,369884651,176484651,47.7,193400000.0,52.3
5,A Bug's Life,363258859,162798565,44.8,200460294.0,55.2
6,Mulan,304320254,120620254,39.6,183700000.0,60.4
7,Doctor Dolittle,294456605,144156605,49.0,150300000.0,51.0
8,Shakespeare in Love,289317794,100317794,34.7,189000000.0,65.3
9,Lethal Weapon 4,285444603,130444603,45.7,155000000.0,54.3
10,The Truman Show,264118201,125618201,47.6,138500000.0,52.4
11,Enemy of the State,250849789,111549836,44.5,139299953.0,55.5
12,You've Got Mail,250821495,115821495,46.2,135000000.0,53.8
13,The Mask of Zorro,250288523,94095523,37.6,156193000.0,62.4
14,Rush Hour,244386864,141186864,57.8,103200000.0,42.2
15,Life Is Beautiful,228847384,57247384,25.0,171600000.0,75.0
16,The Prince of Egypt,218613188,101413188,46.4,117200000.0,53.6
17,Patch Adams,202292902,135026902,66.7,67266000.0,33.3
18,City of Angels,198685114,78685114,39.6,120000000.0,60.4
19,The Horse Whisperer,186883563,75383563,40.3,111500000.0,59.7
20,The Waterboy,185991646,161491646,86.8,24500000.0,13.2
21,The Man in the Iron Mask,182968902,56968902,31.1,126000000.0,68.9
22,Antz,171757863,90757863,52.8,81000000.0,47.2
23,Six Days Seven Nights,164839294,74339294,45.1,90500000.0,54.9
24,Stepmom,159710793,91137662,57.1,68573131.0,42.9
25,Meet Joe Black,142940100,44619100,31.2,98321000.0,68.8
26,The Rugrats Movie,140894675,100494675,71.3,40400000.0,28.7
27,Deep Impact,140694752,140464664,99.8,230088.0,0.2
28,Lost in Space,136159423,69117629,50.8,67041794.0,49.2
29,Blade,131183530,70087718,53.4,61095812.0,46.6
30,A Perfect Murder,128038368,67638368,52.8,60400000.0,47.2
31,The Wedding Singer,123306987,80245725,65.1,43061262.0,34.9
32,The Siege,116672912,40981289,35.1,75691623.0,64.9
