rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Kramer vs. Kramer,106260000,106260000.0,100.0,,
2,The Amityville Horror,86432000,86432000.0,100.0,,
3,Rocky II,85182160,85182160.0,100.0,,
4,Star Trek: The Motion Picture,82258612,82258456.0,100.0,,
5,Apocalypse Now,78971071,78784010.0,99.8,186868.0,0.2
6,Alien,78955806,78944891.0,100.0,,
7,10,74865517,74865517.0,100.0,,
8,The Jerk,73691419,73691419.0,100.0,,
9,Moonraker,70308213,70308099.0,100.0,,
10,The Muppet Movie,65200470,65200000.0,100.0,,
11,The Electric Horseman,61801971,61801971.0,100.0,,
12,The China Syndrome,51718367,51718367.0,100.0,,
13,Meatballs,43046003,43046003.0,100.0,,
14,Escape from Alcatraz,43000000,43000000.0,100.0,,
15,The Main Event,42800000,42800000.0,100.0,,
16,Manhattan,39946780,39946780.0,100.0,,
17,All That Jazz,37824824,37823676.0,100.0,,
18,The Black Stallion,37799643,37799643.0,100.0,,
19,The Black Hole,35841901,35841901.0,100.0,,
20,Starting Over,35649012,35649012.0,100.0,,
21,And Justice for All,33300000,33300000.0,100.0,,
22,1941,31755742,31755742.0,100.0,,
23,The Champ,30441738,30441738.0,100.0,,
24,Being There,30178926,30177511.0,100.0,93.0,0.1
25,The Rose,29174648,29174648.0,100.0,,
26,Going in Style,26869286,26869286.0,100.0,,
27,North Dallas Forty,26079312,26079312.0,100.0,,
28,The Warriors,22494655,22490039.0,100.0,4616.0,0.1
29,Norma Rae,22228000,22228000.0,100.0,,
30,Buck Rogers in the 25th Century,21671241,21671241.0,100.0,,
31,National Lampoon's Animal House 1979 Re-release,21508877,21508877.0,100.0,,
32,The Apple Dumpling Gang Rides Again,20931111,20931111.0,100.0,,
33,La Cage aux Folles,20424259,20424259.0,100.0,,
34,Dracula,20158970,20158970.0,100.0,,
35,When a Stranger Calls,20149106,20149106.0,100.0,,
36,"Same Time, Next Year",19703082,19703082.0,100.0,,
37,The Seduction of Joe Tynan,19595168,19595168.0,100.0,,
38,Life of Brian,19426110,19398164.0,99.9,26174.0,0.1
39,One Hundred and One Dalmatians 1979 Re-release,19000000,19000000.0,100.0,,
40,Prophecy,18389402,18389402.0,100.0,,
41,Breaking Away,16424918,16424918.0,100.0,,
42,Hair,15284643,15284643.0,100.0,,
43,More American Graffiti,15014674,15014674.0,100.0,,
44,Roller Boogie,13253715,13253715.0,100.0,,
45,The Great Train Robbery,13027857,13027857.0,100.0,,
46,The Concorde... Airport '79,13015688,13015688.0,100.0,,
47,Phantasm,11988469,11988469.0,100.0,,
48,The Promise,11606005,11606005.0,100.0,,
49,The Legacy,11364985,11364985.0,100.0,,
50,Fiddler on the Roof 1979 Re-release,10404330,10404330.0,100.0,,
51,The Onion Field,9890597,9890597.0,100.0,,
52,The Frisco Kid,9346177,9346177.0,100.0,,
53,Meteor,8400000,8400000.0,100.0,,
54,The Fish That Saved Pittsburgh,8281246,8281246.0,100.0,,
55,Bloodline,8218695,8218695.0,100.0,,
56,The Prisoner of Zenda,7650600,7650600.0,100.0,,
57,Agatha,7500000,7500000.0,100.0,,
58,Americathon,6171763,6171763.0,100.0,,
59,Running,6012556,6012556.0,100.0,,
60,Cuba,5610280,5610280.0,100.0,,
61,Butch and Sundance: The Early Days,5136913,5136913.0,100.0,,
62,Players,4896094,4896094.0,100.0,,
63,The Great Santini,4702575,4702575.0,100.0,,
64,Yanks,3931010,3931010.0,100.0,,
65,Lost and Found,3223197,3223197.0,100.0,,
66,Hanover Street,3000000,3000000.0,100.0,,
67,Voices,2631244,2631244.0,100.0,,
68,Wanda Nevada,2411145,2411145.0,100.0,,
69,Sunburn,2410776,2410776.0,100.0,,
70,Rich Kids,1856122,1856122.0,100.0,,
71,Walk Proud,1675040,1675040.0,100.0,,
72,Last Embrace,1537125,1537125.0,100.0,,
73,Goldengirl,1247376,1247376.0,100.0,,
74,The Passage,1101186,1101186.0,100.0,,
75,Winter Kills,1084261,1083799.0,100.0,,
76,City on Fire,784181,784181.0,100.0,,
77,"A Man, a Woman and a Bank",683353,683353.0,100.0,,
78,Five Days from Home,641768,641768.0,100.0,,
79,Fast Charlie... the Moonbeam Rider,444334,444334.0,100.0,,
80,The Human Factor,376050,376050.0,100.0,,
81,Real Life,364642,364642.0,100.0,,
82,An Almost Perfect Affair,85493,85493.0,100.0,,
83,Nest of Vipers,27182,27182.0,100.0,,
84,The Milky Way,2893,,,2893.0,100.0
