rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Aladdin,346476295,217350219,62.7,129126076.0,37.3
2,Batman Returns,266831698,162831698,61.0,104000000.0,39.0
3,Home Alone 2: Lost in New York,173595300,173585516,100.0,85.0,0.1
4,Lethal Weapon 3,144731527,144731527,100.0,,
5,A Few Good Men,141354048,141340178,100.0,13870.0,0.1
6,Sister Act,139607519,139605150,100.0,49.0,0.1
7,The Bodyguard,121945720,121945720,100.0,,
8,Wayne's World,121697862,121697323,100.0,,
9,Basic Instinct,117727224,117727224,100.0,,
10,A League of Their Own,107535154,107533928,100.0,,
11,Unforgiven,101157447,101157447,100.0,,
12,The Hand That Rocks the Cradle,88036718,88036683,100.0,35.0,0.1
13,Under Siege,83563139,83563139,100.0,,
14,Patriot Games,83351587,83351587,100.0,,
15,Bram Stoker's Dracula,82522790,82522790,100.0,,
16,White Men Can't Jump,76253806,76253806,100.0,,
17,The Last of the Mohicans,75506530,75505856,100.0,,
18,Boomerang,70052444,70052444,100.0,,
19,Scent of a Woman,63095253,63095253,100.0,,
20,The Crying Game,62548947,62548947,100.0,,
21,Far and Away,58883840,58883840,100.0,,
22,"Honey, I Blew Up the Kid",58662452,58662452,100.0,,
23,HouseSitter,58500635,58500635,100.0,,
24,Death Becomes Her,58423992,58422650,100.0,,
25,Unlawful Entry,57138719,57138719,100.0,,
26,Beethoven,57114049,57114049,100.0,,
27,Forever Young,55956187,55956187,100.0,,
28,Alien³,55473545,55473545,100.0,,
29,My Cousin Vinny,52929168,52929168,100.0,,
30,Sneakers,51432691,51432691,100.0,,
31,The Mighty Ducks,50753220,50752337,100.0,,
32,Wayne's World 2,48198019,48197805,100.0,214.0,0.1
33,Malcolm X,48169910,48169910,100.0,,
34,Single White Female,48017402,48017402,100.0,,
35,The Distinguished Gentleman,46666502,46666502,100.0,,
36,Medicine Man,45500797,45500797,100.0,,
37,Passenger 57,44065653,44065653,100.0,,
38,A River Runs Through It,43440294,43440294,100.0,,
39,Encino Man,40693477,40693477,100.0,,
40,Mo' Money,40227006,40227006,100.0,,
41,Universal Soldier,36299898,36299898,100.0,,
42,Honeymoon in Vegas,35208854,35208854,100.0,,
43,The Lawnmower Man,32100816,32100816,100.0,,
44,Sleepwalkers,30524763,30524763,100.0,,
45,The Muppet Christmas Carol,29192832,27281507,93.5,1910927.0,6.5
46,3 Ninjas,29000301,29000301,100.0,,
47,Final Analysis,28590665,28590665,100.0,,
48,Stop! Or My Mom Will Shoot,28411210,28411210,100.0,,
49,Howards End,25968006,25966555,100.0,,
50,Candyman,25792310,25792310,100.0,,
51,The Cutting Edge,25105517,25105517,100.0,,
52,FernGully: The Last Rainforest,24650296,24650296,100.0,,
53,Hoffa,24276506,24276506,100.0,,
54,Leap of Faith,23369283,23369283,100.0,,
55,Toys,23278931,23278931,100.0,,
56,Thunderheart,22660758,22660758,100.0,,
57,Captain Ron,22518097,22518097,100.0,,
58,The Player,21706101,21706101,100.0,,
59,Shining Through,21633781,21633781,100.0,,
60,Consenting Adults,21591728,21591728,100.0,,
61,Raising Cain,21370057,21370057,100.0,,
62,Straight Talk,21202099,21202099,100.0,,
63,Kuffs,21142815,21142815,100.0,,
64,Mr. Baseball,20883046,20883046,100.0,,
65,Juice,20146880,20146880,100.0,,
66,Prelude to a Kiss,20006730,20006730,100.0,,
67,Hero,19507345,19507345,100.0,,
68,Pinocchio 1992 Re-release,18863559,18863559,100.0,,
69,Singles,18471850,18471850,100.0,,
70,Used People,17957265,17957265,100.0,,
71,The Babe,17530973,17530973,100.0,,
72,Freejack,17129026,17129026,100.0,,
73,Pet Sematary II,17092453,17092453,100.0,,
74,Deep Cover,16639799,16639799,100.0,,
75,Buffy the Vampire Slayer,16624456,16624456,100.0,,
76,Pure Country,15164458,15164458,100.0,,
77,Ladybugs,14796494,14796494,100.0,,
78,School Ties,14715067,14715067,100.0,,
79,City of Joy,14683921,14683921,100.0,,
80,Memoirs of an Invisible Man,14358033,14358033,100.0,,
81,Rapid Fire,14356479,14356479,100.0,,
82,Cool World,14110589,14110589,100.0,,
83,Mr. Saturday Night,13351357,13351357,100.0,,
84,The Great Mouse Detective 1992 Re-release,13288756,13288756,100.0,,
85,Class Act,13272113,13272113,100.0,,
86,Trespass,13249535,13249535,100.0,,
87,Enchanted April,13200170,13200170,100.0,,
88,American Me,13086430,13086430,100.0,,
89,Hellraiser III: Hell on Earth,12534961,12534961,100.0,,
90,A Stranger Among Us,12282994,12282994,100.0,,
91,Rock-A-Doodle,11657385,11657385,100.0,,
92,Jennifer 8,11390479,11390479,100.0,,
93,Whispers in the Dark,11124511,11124511,100.0,,
94,Stay Tuned,10736401,10736401,100.0,,
95,Glengarry Glen Ross,10726612,10725228,100.0,,
96,Husbands and Wives,10555619,10555619,100.0,,
97,Chaplin,9493259,9493259,100.0,,
98,Gladiator,9223441,9223441,100.0,,
99,White Sands,9011574,9011574,100.0,,
100,Once Upon a Crime...,8669847,8669847,100.0,,
101,Bebe's Kids,8442162,8442162,100.0,,
102,Dr. Giggles,8403433,8403433,100.0,,
103,Christopher Columbus: The Discovery,8251071,8251071,100.0,,
104,Damage,7532911,7532911,100.0,,
105,Sarafina!,7309989,7306242,99.9,3747.0,0.1
106,Mississippi Masala,7308786,7308786,100.0,,
107,1492: Conquest of Paradise,7191399,7191399,100.0,,
108,The Mambo Kings,6742168,6742168,100.0,,
109,Article 99,6375979,6375979,100.0,,
110,Night and the City,6202756,6202756,100.0,,
111,Folks!,6132924,6132924,100.0,,
112,Indochine,5603158,5603158,100.0,,
113,Wind,5519569,5519569,100.0,,
114,Of Mice and Men,5471088,5471088,100.0,,
115,Split Second,5430822,5430822,100.0,,
116,The Lover,5013090,4899194,97.7,113896.0,2.3
117,Innocent Blood,4943279,4943279,100.0,,
118,The Playboys,4906900,4906900,100.0,,
119,Diggstown,4836637,4836637,100.0,,
120,Passion Fish,4814619,4814619,100.0,,
121,Radio Flyer,4651977,4651977,100.0,,
122,Blade Runner The Final Cut,4642280,3740330,80.6,901950.0,19.4
123,Mediterraneo,4532791,4532791,100.0,,
124,Bob Roberts,4479470,4479470,100.0,,
125,Twin Peaks: Fire Walk with Me,4160851,4160851,100.0,,
126,Man Trouble,4096030,4096030,100.0,,
127,Peter's Friends,4058564,4058564,100.0,,
128,Passed Away,4030793,4030793,100.0,,
129,The Gun in Betty Lou's Handbag,3721911,3721911,100.0,,
130,Traces of Red,3206714,3206714,100.0,,
131,K2,3106559,3106559,100.0,,
132,Blame It on the Bellboy,3104545,3104545,100.0,,
133,Tous les matins du monde,3089497,3089497,100.0,,
134,The Public Eye,3067917,3067917,100.0,,
135,CrissCross,3052738,3052738,100.0,,
136,This Is My Life,2922094,2922094,100.0,,
137,Reservoir Dogs,2832316,2832029,100.0,,
138,The Power of One,2827107,2827107,100.0,,
139,Newsies,2819485,2819485,100.0,,
140,Year of the Comet,2791515,2791515,100.0,,
141,Shadows and Fog,2735731,2735731,100.0,,
142,Raise the Red Lantern,2603061,2603061,100.0,,
143,Aces: Iron Eagle III,2517600,2517600,100.0,,
144,Flirting,2415396,2415396,100.0,,
145,Love Crimes,2287928,2287928,100.0,,
146,Noises Off...,2280148,2280148,100.0,,
147,A Brief History of Time,2279692,2279692,100.0,,
148,Mom and Dad Save the World,2034470,2034470,100.0,,
149,Gate 2: The Trespassers,2032973,2032973,100.0,,
150,Bad Lieutenant,2019469,2000022,99.0,19447.0,1.0
151,Night on Earth,2015810,2015810,100.0,,
152,Poison Ivy,1829804,1829804,100.0,,
153,Delicatessen,1794187,1794187,100.0,,
154,The Waterdance,1723319,1723319,100.0,,
155,Casablanca 1992 Re-release,1719913,1719913,100.0,,
156,Out on a Limb,1659542,1659542,100.0,,
157,Daughters of the Dust,1642436,1642436,100.0,,
158,Zebrahead,1557771,1557771,100.0,,
159,One False Move,1543112,1543112,100.0,,
160,A Midnight Clear,1526697,1526697,100.0,,
161,Leaving Normal,1514114,1514114,100.0,,
162,Where Angels Fear to Tread,1403033,1403033,100.0,,
163,South Central,1373196,1373196,100.0,,
164,Little Nemo: Adventures in Slumberland,1368000,1368000,100.0,,
165,Gas Food Lodging,1342613,1342613,100.0,,
166,Brother's Keeper,1305915,1305915,100.0,,
167,Spike & Mike's Festival of Animation Volume 1,1268529,1268529,100.0,,
168,The Best Intentions,1253106,1253106,100.0,,
169,Toto the Hero,1228153,1228153,100.0,,
170,The Hairdresser's Husband,1217084,1217084,100.0,,
171,Freddie as F.R.O.7.,1119368,1119368,100.0,,
172,Mistress,1102469,1102469,100.0,,
173,Waterland,1100218,1100218,100.0,,
174,Steeper & Deeper,1076685,1076685,100.0,,
175,Light Sleeper,1055987,1050861,99.5,5126.0,0.5
176,Europa,1007001,1007001,100.0,,
177,35 Up,922872,922872,100.0,,
178,Ruby,919286,919286,100.0,,
179,Brain Donors,918239,918239,100.0,,
180,Rampage,796368,796368,100.0,,
181,Cabeza de Vaca,789127,789127,100.0,,
182,Turtle Beach,778535,778535,100.0,,
183,Love Potion No. 9,754935,754935,100.0,,
184,Edward II,694438,694438,100.0,,
185,The Living End,692585,692585,100.0,,
186,Johnny Stecchino,626057,626057,100.0,,
187,Wild Orchid II: Two Shades of Blue,573904,573904,100.0,,
188,Incident at Oglala,536848,536848,100.0,,
189,Proof,524668,524668,100.0,,
190,Voyager,516517,516517,100.0,,
191,Crossing the Bridge,479676,479676,100.0,,
192,Danzón,450501,450501,100.0,,
193,Storyville,422503,422503,100.0,,
194,The Adjuster,396573,396573,100.0,,
195,Where the Day Takes You,390152,390152,100.0,,
196,Close to Eden,377832,377832,100.0,,
197,Monster in a Box,311245,311245,100.0,,
198,The Panama Deception,309596,309596,100.0,,
199,Hard Promises,306319,306319,100.0,,
200,Becoming Colette,272931,272931,100.0,,
