rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Pirates of the Caribbean: At World's End,960996492,309420425.0,32.2,651576067.0,67.8
2,Harry Potter and the Order of the Phoenix,941678200,292004738.0,31.0,649672105.0,69.0
3,Spider-Man 3,894983373,336530303.0,37.6,558453070.0,62.4
4,Shrek the Third,813367380,322719944.0,39.7,490647436.0,60.3
5,Transformers,709709780,319246193.0,45.0,390463587.0,55.0
6,Ratatouille,623726085,206445654.0,33.1,417280431.0,66.9
7,I Am Legend,585410052,256393010.0,43.8,329017042.0,56.2
8,The Simpsons Movie,536414270,183135014.0,34.1,353279256.0,65.9
9,National Treasure: Book of Secrets,459242249,219964115.0,47.9,239278134.0,52.1
10,300,456068181,210614939.0,46.2,245453242.0,53.8
11,The Bourne Ultimatum,444100035,227471070.0,51.2,216628965.0,48.8
12,Live Free or Die Hard,388156011,134529403.0,34.7,253626608.0,65.3
13,The Golden Compass,372234864,70107728.0,18.8,302127136.0,81.2
14,Alvin and the Chipmunks,365352546,217326974.0,59.5,148025572.0,40.5
15,Enchanted,340487652,127807262.0,37.5,212680390.0,62.5
16,Ocean's Thirteen,311312624,117154724.0,37.6,194157900.0,62.4
17,Fantastic Four: Rise of the Silver Surfer,301913131,131921738.0,43.7,169991393.0,56.3
18,Bee Movie,293514336,126631277.0,43.1,166883059.0,56.9
19,American Gangster,269755430,130164645.0,48.3,139590785.0,51.7
20,Rush Hour 3,258097122,140125968.0,54.3,117971154.0,45.7
21,Wild Hogs,253625427,168273550.0,66.3,85351877.0,33.7
22,Juno,232372681,143495265.0,61.8,88877416.0,38.2
23,Mr. Bean's Holiday,232225908,33302167.0,14.3,198923741.0,85.7
24,Ghost Rider,228738393,115802596.0,50.6,112935797.0,49.4
25,Knocked Up,219922417,148768917.0,67.6,71153500.0,32.4
26,Hairspray,203552922,118871849.0,58.4,84681073.0,41.6
27,Beowulf,196393745,82280579.0,41.9,114113166.0,58.1
28,I Now Pronounce You Chuck & Larry,187134117,120059556.0,64.2,67074561.0,35.8
29,Knowing,183658498,79957634.0,43.5,103700864.0,56.5
30,The Bucket List,175372502,93466502.0,53.3,81906000.0,46.7
31,Evan Almighty,174440724,100462298.0,57.6,73978426.0,42.4
32,No Country for Old Men,171627166,74283625.0,43.3,97343541.0,56.7
33,Superbad,170812574,121463226.0,71.1,49349300.0,28.9
34,Meet the Robinsons,169333034,97822171.0,57.8,71510863.0,42.2
35,Norbit,159814490,95673607.0,59.9,64140883.0,40.1
36,P.S. I Love You,156835339,53695808.0,34.2,103139531.0,65.8
37,Sweeney Todd: The Demon Barber of Fleet Street,153383627,52898073.0,34.5,100485554.0,65.5
38,Surf's Up,152005713,58867694.0,38.7,93138019.0,61.3
39,The Game Plan,147880543,90648202.0,61.3,57232341.0,38.7
40,Resident Evil: Extinction,147717833,50648679.0,34.3,97069154.0,65.7
41,Music and Lyrics,145896422,50572589.0,34.7,95323833.0,65.3
42,Blades of Glory,145710347,118594548.0,81.4,27115799.0,18.6
43,Saw IV,139352633,63300095.0,45.4,76052538.0,54.6
44,Bridge to Terabithia,137587063,82272442.0,59.8,55314621.0,40.2
45,Stardust,137515140,38634938.0,28.1,98880202.0,71.9
46,1408,132963417,71985628.0,54.1,60977789.0,45.9
47,Aliens vs. Predator: Requiem,130290885,41797066.0,32.1,88493819.0,67.9
48,Atonement,129266061,50927067.0,39.4,78338994.0,60.6
49,The Heartbreak Kid,128453183,36787257.0,28.6,91665926.0,71.4
50,Charlie Wilson's War,119483446,66661095.0,55.8,52822351.0,44.2
51,Disturbia,118114220,80209692.0,67.9,37904528.0,32.1
52,Earth,108975160,32011576.0,29.4,76963584.0,70.6
53,The Water Horse,103967384,40946255.0,39.4,63021129.0,60.6
54,Hitman,101276318,39687694.0,39.2,61588624.0,60.8
55,Fred Claus,97838349,72006777.0,73.6,25831572.0,26.4
56,TMNT,95797812,54149098.0,56.5,41648714.0,43.5
57,Shooter,95696996,47003582.0,49.1,48693414.0,50.9
58,Michael Clayton,92991835,49033882.0,52.7,43957953.0,47.3
59,No Reservations,92601050,43107979.0,46.6,49493071.0,53.4
60,Fracture,92011561,39015018.0,42.4,52996543.0,57.6
61,Epic Movie,87238158,39739367.0,45.6,47498791.0,54.4
62,The Kingdom,87019158,47536778.0,54.6,39482380.0,45.4
63,La Vie En Rose,86274793,10301706.0,11.9,75973087.0,88.1
64,Zodiac,84785914,33080084.0,39.0,51705830.0,61.0
65,Premonition,84146832,47852604.0,56.9,36294228.0,43.1
66,Hannibal Rising,82169884,27670986.0,33.7,54498898.0,66.3
67,Rabbit Without Ears,81744033,,,81744033.0,100.0
68,Hot Fuzz,80577265,23637265.0,29.3,56940000.0,70.7
69,Halloween,80460948,58272029.0,72.4,22188919.0,27.6
70,The Orphanage,78638987,7161284.0,9.1,71477703.0,90.9
71,The Number 23,77677553,35193167.0,45.3,42484386.0,54.7
72,Next,77621983,18211013.0,23.5,59410970.0,76.5
73,There Will Be Blood,76181545,40222514.0,52.8,35959031.0,47.2
74,Hero,76089199,,,76089199.0,100.0
