rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Out of Africa,225526205,87071205,38.6,138455000.0,61.4
2,Back to the Future,223337655,211850472,94.9,11483764.0,5.1
3,Rambo: First Blood Part II,150415432,150415432,100.0,,
4,Rocky IV,127891353,127873716,100.0,17637.0,0.1
5,The Color Purple,94175854,94175854,100.0,,
6,Cocoon,76113124,76113124,100.0,,
7,The Jewel of the Nile,75973200,75973200,100.0,,
8,Witness,68706993,68706993,100.0,,
9,The Goonies,61411395,61389680,100.0,2770.0,0.1
10,Spies Like Us,60088980,60088980,100.0,,
11,Police Academy 2: Their First Assignment,55600000,55600000,100.0,,
12,Fletch,50612888,50612888,100.0,,
13,A View to a Kill,50328158,50327960,100.0,,
14,National Lampoon's European Vacation,49364621,49364621,100.0,,
15,Mask,48230162,48230162,100.0,,
16,The Breakfast Club,45876558,45875171,100.0,,
17,White Nights,42160849,42160849,100.0,,
18,Pale Rider,41410568,41410568,100.0,,
19,Pee-wee's Big Adventure,40940662,40940662,100.0,,
20,Brewster's Millions,40833132,40833132,100.0,,
21,E.T. the Extra-Terrestrial 1985 Re-release,40607502,40607502,100.0,,
22,Jagged Edge,40491165,40491165,100.0,,
23,St. Elmo's Fire,37803872,37803872,100.0,,
24,Mad Max Beyond Thunderdome,36230925,36230219,100.0,,
25,Commando,35102457,35100000,100.0,,
26,Teen Wolf,33087306,33086611,100.0,,
27,One Hundred and One Dalmatians 1985 Re-release,33049729,33049729,100.0,,
28,Silverado,32192570,32192570,100.0,,
29,Murphy's Romance,30867525,30867525,100.0,,
30,A Nightmare on Elm Street 2: Freddy's Revenge,29999213,29999213,100.0,,
31,Desperately Seeking Susan,27398584,27398584,100.0,,
32,Prizzi's Honor,26657534,26657534,100.0,,
33,The Last Dragon,25755277,25754284,100.0,749.0,0.1
34,Agnes of God,25627836,25627836,100.0,,
35,Fright Night,24923585,24922237,100.0,,
36,Summer Rental,24689703,24689703,100.0,,
37,The Emerald Forest,24468550,24468550,100.0,,
38,Weird Science,23834412,23834048,100.0,,
39,Santa Claus,23717291,23717291,100.0,,
40,The Care Bears Movie,22934622,22934622,100.0,,
41,Friday the 13th: A New Beginning,21930418,21930418,100.0,,
42,The Black Cauldron,21288692,21288692,100.0,,
43,Porky's Revenge,20518905,20518905,100.0,,
44,Code of Silence,20345361,20345361,100.0,,
45,Volunteers,19875740,19875740,100.0,,
46,Young Sherlock Holmes,19739575,19739575,100.0,,
47,Year of the Dragon,18707466,18707466,100.0,,
48,Ladyhawke,18432000,18432000,100.0,,
49,The Sure Thing,18135531,18135531,100.0,,
50,Invasion U.S.A.,17536256,17536256,100.0,,
51,To Live and Die in L.A.,17309216,17307019,100.0,,
52,The Falcon and the Snowman,17130087,17130087,100.0,,
53,Kiss of the Spider Woman,17005229,17005229,100.0,,
54,Death Wish 3,16116878,16116878,100.0,,
